Concelho,Nível de Tensão,Ano,Mês,CPEs_Doméstico,CPEs_Iluminação Pública,CPEs_Não Doméstico,CPEs_Outros
Aguiar da Beira,Baixa Tensão,2024,3,3815.0,96.0,1003.0,9.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,3,0.0,0.0,15.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,4,0.0,0.0,15.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,5,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,6,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,7,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,8,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,9,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,10,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,11,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,12,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,1,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,2,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,3,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,4,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,5,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,6,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,7,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,8,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,9,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,10,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,11,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,12,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2024,1,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2024,2,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2024,3,0.0,0.0,16.0,0.0
Alandroal,Baixa Tensão,2022,3,3276.0,45.0,728.0,14.0
Alandroal,Baixa Tensão,2022,4,3275.0,45.0,731.0,16.0
Alandroal,Baixa Tensão,2022,5,3272.0,45.0,732.0,14.0
Alandroal,Baixa Tensão,2022,6,3277.0,45.0,735.0,16.0
Alandroal,Baixa Tensão,2022,7,3285.0,45.0,739.0,13.0
Alandroal,Baixa Tensão,2022,8,3294.0,45.0,738.0,16.0
Alandroal,Baixa Tensão,2022,9,3292.0,45.0,739.0,13.0
Alandroal,Baixa Tensão,2022,10,3288.0,45.0,741.0,14.0
Alandroal,Baixa Tensão,2022,11,3287.0,45.0,742.0,12.0
Alandroal,Baixa Tensão,2022,12,3279.0,45.0,743.0,13.0
Alandroal,Baixa Tensão,2023,1,3285.0,45.0,744.0,12.0
Alandroal,Baixa Tensão,2023,2,3291.0,45.0,742.0,12.0
Alandroal,Baixa Tensão,2023,3,3291.0,45.0,744.0,12.0
Alandroal,Baixa Tensão,2023,4,3291.0,45.0,744.0,12.0
Alandroal,Baixa Tensão,2023,5,3291.0,45.0,744.0,12.0
Alandroal,Baixa Tensão,2023,6,3288.0,45.0,749.0,13.0
Alandroal,Baixa Tensão,2023,7,3289.0,45.0,755.0,13.0
Alandroal,Baixa Tensão,2023,8,3291.0,45.0,756.0,18.0
Alandroal,Baixa Tensão,2023,9,3295.0,45.0,754.0,14.0
Alandroal,Baixa Tensão,2023,10,3293.0,45.0,752.0,13.0
Alandroal,Baixa Tensão,2023,11,3292.0,45.0,750.0,13.0
Alandroal,Baixa Tensão,2023,12,3294.0,45.0,749.0,15.0
Alandroal,Baixa Tensão,2024,1,3294.0,45.0,750.0,11.0
Alandroal,Baixa Tensão,2024,2,3288.0,45.0,750.0,12.0
Alandroal,Baixa Tensão,2024,3,3290.0,45.0,752.0,10.0
Alandroal,"Muito Alta, Alta e Média Tensões",2022,3,0.0,0.0,35.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2022,4,0.0,0.0,37.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2022,5,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2022,6,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2022,7,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2022,8,0.0,0.0,39.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2022,9,0.0,0.0,39.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2022,10,0.0,0.0,39.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2022,11,0.0,0.0,39.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2022,12,0.0,0.0,39.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,1,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,2,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,3,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,4,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,5,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,6,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,7,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,8,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,9,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,10,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,11,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2023,12,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2024,1,0.0,0.0,38.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2024,2,0.0,0.0,39.0,0.0
Alandroal,"Muito Alta, Alta e Média Tensões",2024,3,0.0,0.0,39.0,0.0
Albergaria-a-Velha,Baixa Tensão,2022,3,11233.0,177.0,2498.0,124.0
Albergaria-a-Velha,Baixa Tensão,2022,4,11237.0,177.0,2502.0,124.0
Albergaria-a-Velha,Baixa Tensão,2022,5,11227.0,177.0,2508.0,120.0
Albergaria-a-Velha,Baixa Tensão,2022,6,11231.0,178.0,2511.0,121.0
Albergaria-a-Velha,Baixa Tensão,2022,7,11238.0,178.0,2508.0,125.0
Albergaria-a-Velha,Baixa Tensão,2022,8,11240.0,178.0,2504.0,124.0
Albergaria-a-Velha,Baixa Tensão,2022,9,11239.0,178.0,2509.0,122.0
Albergaria-a-Velha,Baixa Tensão,2022,10,11257.0,178.0,2504.0,118.0
Albergaria-a-Velha,Baixa Tensão,2022,11,11270.0,178.0,2505.0,117.0
Albergaria-a-Velha,Baixa Tensão,2022,12,11283.0,178.0,2504.0,117.0
Albergaria-a-Velha,Baixa Tensão,2023,1,11301.0,178.0,2506.0,114.0
Albergaria-a-Velha,Baixa Tensão,2023,2,11309.0,178.0,2509.0,114.0
