Concelho,Tipo de Serviço,Ano,Semestre,Ordens Serviço Realizadas (#)
Alijó,Serviço de Corte e Re-Ligação,2022,2,54
Alijó,Serviço de Corte e Re-Ligação,2023,1,60
Alijó,Serviço de Corte e Re-Ligação,2023,2,48
Alijó,Serviço de Corte e Re-Ligação,2024,1,21
Aljezur,Configuração de EMI,2022,1,8
Aljezur,Configuração de EMI,2022,2,192
Aljezur,Configuração de EMI,2023,1,631
Aljezur,Configuração de EMI,2023,2,13
Aljezur,Configuração de EMI,2024,1,5
Aljezur,Outros,2022,2,1
Aljezur,REMOTE_ICP_CONFIGURATION,2023,1,3
Aljezur,REMOTE_ICP_CONFIGURATION,2023,2,6
Aljezur,Redução de Potência Contratada,2022,1,10
Aljezur,Redução de Potência Contratada,2022,2,51
Aljezur,Redução de Potência Contratada,2023,1,100
Aljezur,Redução de Potência Contratada,2023,2,127
Aljezur,Redução de Potência Contratada,2024,1,53
Aljezur,Reposição de Potência Contratada,2022,1,11
Aljezur,Reposição de Potência Contratada,2022,2,45
Aljezur,Reposição de Potência Contratada,2023,1,79
Aljezur,Reposição de Potência Contratada,2023,2,116
Aljezur,Reposição de Potência Contratada,2024,1,35
Aljezur,Servico Alteração Contractual,2022,1,26
Aljezur,Servico Alteração Contractual,2022,2,59
Aljezur,Servico Alteração Contractual,2023,1,62
Aljezur,Servico Alteração Contractual,2023,2,84
Aljezur,Servico Alteração Contractual,2024,1,31
Aljezur,Serviço de Corte e Re-Ligação,2022,1,15
Aljezur,Serviço de Corte e Re-Ligação,2022,2,38
Aljezur,Serviço de Corte e Re-Ligação,2023,1,64
Aljezur,Serviço de Corte e Re-Ligação,2023,2,57
Aljezur,Serviço de Corte e Re-Ligação,2024,1,9
Aljustrel,Configuração de EMI,2022,1,9
Aljustrel,Configuração de EMI,2022,2,88
Aljustrel,Configuração de EMI,2023,1,347
Aljustrel,Configuração de EMI,2023,2,15
Aljustrel,Configuração de EMI,2024,1,3
Aljustrel,REMOTE_ICP_CONFIGURATION,2022,2,1
Aljustrel,REMOTE_ICP_CONFIGURATION,2023,1,3
Aljustrel,REMOTE_ICP_CONFIGURATION,2023,2,8
Aljustrel,Redução de Potência Contratada,2022,1,148
Aljustrel,Redução de Potência Contratada,2022,2,201
Aljustrel,Redução de Potência Contratada,2023,1,290
Aljustrel,Redução de Potência Contratada,2023,2,239
Aljustrel,Redução de Potência Contratada,2024,1,77
Aljustrel,Reposição de Potência Contratada,2022,1,131
Aljustrel,Reposição de Potência Contratada,2022,2,171
Aljustrel,Reposição de Potência Contratada,2023,1,236
Aljustrel,Reposição de Potência Contratada,2023,2,203
Aljustrel,Reposição de Potência Contratada,2024,1,64
Aljustrel,Servico Alteração Contractual,2022,1,41
Aljustrel,Servico Alteração Contractual,2022,2,71
Aljustrel,Servico Alteração Contractual,2023,1,108
Aljustrel,Servico Alteração Contractual,2023,2,109
Aljustrel,Servico Alteração Contractual,2024,1,45
Aljustrel,Serviço de Corte e Re-Ligação,2022,1,41
Aljustrel,Serviço de Corte e Re-Ligação,2022,2,38
Aljustrel,Serviço de Corte e Re-Ligação,2023,1,59
Aljustrel,Serviço de Corte e Re-Ligação,2023,2,53
Aljustrel,Serviço de Corte e Re-Ligação,2024,1,9
Almada,Configuração de EMI,2022,1,154
Almada,Configuração de EMI,2022,2,4088
Almada,Configuração de EMI,2023,1,5980
Almada,Configuração de EMI,2023,2,217
Almada,Configuração de EMI,2024,1,50
Almada,Outros,2022,1,4
Almada,Outros,2022,2,22
Almada,Outros,2023,1,7
Almada,Outros,2023,2,1
Almada,REMOTE_ICP_CONFIGURATION,2022,2,11
Almada,REMOTE_ICP_CONFIGURATION,2023,1,45
Almada,REMOTE_ICP_CONFIGURATION,2023,2,138
Almada,REMOTE_ICP_CONFIGURATION,2024,1,6
Almada,Redução de Potência Contratada,2022,1,2954
Almada,Redução de Potência Contratada,2022,2,5239
Almada,Redução de Potência Contratada,2023,1,6774
Almada,Redução de Potência Contratada,2023,2,6370
Almada,Redução de Potência Contratada,2024,1,2417
Almada,Reposição de Potência Contratada,2022,1,2325
Almada,Reposição de Potência Contratada,2022,2,4181
Almada,Reposição de Potência Contratada,2023,1,5191
Almada,Reposição de Potência Contratada,2023,2,4936
Almada,Reposição de Potência Contratada,2024,1,1729
Almada,Servico Alteração Contractual,2022,1,1572
Almada,Servico Alteração Contractual,2022,2,3054
Almada,Servico Alteração Contractual,2023,1,3049
Almada,Servico Alteração Contractual,2023,2,3251
Almada,Servico Alteração Contractual,2024,1,1271
Almada,Serviço de Corte e Re-Ligação,2022,1,914
Almada,Serviço de Corte e Re-Ligação,2022,2,1409
Almada,Serviço de Corte e Re-Ligação,2023,1,1693
Almada,Serviço de Corte e Re-Ligação,2023,2,1576
Almada,Serviço de Corte e Re-Ligação,2024,1,399
Almeida,Configuração de EMI,2022,1,2
Almeida,Configuração de EMI,2022,2,208
Almeida,Configuração de EMI,2023,1,761
Almeida,Configuração de EMI,2023,2,18
Almeida,Configuração de EMI,2024,1,5
Almeida,Outros,2022,2,1
Almeida,Outros,2023,1,2
Almeida,REMOTE_ICP_CONFIGURATION,2023,1,2
Almeida,REMOTE_ICP_CONFIGURATION,2023,2,7
Almeida,Redução de Potência Contratada,2022,1,41
Almeida,Redução de Potência Contratada,2022,2,82
Almeida,Redução de Potência Contratada,2023,1,109
Almeida,Redução de Potência Contratada,2023,2,123
Almeida,Redução de Potência Contratada,2024,1,65
Almeida,Reposição de Potência Contratada,2022,1,37
Almeida,Reposição de Potência Contratada,2022,2,65
Almeida,Reposição de Potência Contratada,2023,1,86
Almeida,Reposição de Potência Contratada,2023,2,89
Almeida,Reposição de Potência Contratada,2024,1,42
Almeida,Servico Alteração Contractual,2022,1,34
Almeida,Servico Alteração Contractual,2022,2,76
Almeida,Servico Alteração Contractual,2023,1,79
Almeida,Servico Alteração Contractual,2023,2,88
Almeida,Servico Alteração Contractual,2024,1,34
Almeida,Serviço de Corte e Re-Ligação,2022,1,18
Almeida,Serviço de Corte e Re-Ligação,2022,2,35
Almeida,Serviço de Corte e Re-Ligação,2023,1,34
Almeida,Serviço de Corte e Re-Ligação,2023,2,44
Almeida,Serviço de Corte e Re-Ligação,2024,1,21
Almeirim,Configuração de EMI,2022,1,14
Almeirim,Configuração de EMI,2022,2,302
Almeirim,Configuração de EMI,2023,1,638
Almeirim,Configuração de EMI,2023,2,41
Almeirim,Configuração de EMI,2024,1,8
Almeirim,Outros,2022,2,1
Almeirim,Outros,2023,1,1
Almeirim,REMOTE_ICP_CONFIGURATION,2022,2,4
Almeirim,REMOTE_ICP_CONFIGURATION,2023,1,1
