concelho,nivel_de_tensao,ano,mes,energia_ativa_kwh
Alandroal,Baixa Tensão,2023,6,1293462.177
Alandroal,Baixa Tensão,2023,7,1479313.114
Alandroal,Baixa Tensão,2023,8,1446237.284
Alandroal,Baixa Tensão,2023,9,1210895.869
Alandroal,Baixa Tensão,2023,10,1140986.2179999999
Alandroal,Baixa Tensão,2023,11,1157512.881
Alandroal,Baixa Tensão,2023,12,1367116.634
Alandroal,Baixa Tensão,2024,1,1355369.982
Alandroal,Baixa Tensão,2024,2,448792.018
Alandroal,"Muito Alta, Alta e Média Tensões",2020,11,149848.255
Alandroal,"Muito Alta, Alta e Média Tensões",2020,12,169149.937
Alandroal,"Muito Alta, Alta e Média Tensões",2021,1,216521.419
Alandroal,"Muito Alta, Alta e Média Tensões",2021,2,159139.331
Alandroal,"Muito Alta, Alta e Média Tensões",2021,3,185095.25
Alandroal,"Muito Alta, Alta e Média Tensões",2021,4,169719.26799999998
Alandroal,"Muito Alta, Alta e Média Tensões",2021,5,336053.198
Alandroal,"Muito Alta, Alta e Média Tensões",2021,6,587803.632
Alandroal,"Muito Alta, Alta e Média Tensões",2021,7,796260.169
Alandroal,"Muito Alta, Alta e Média Tensões",2021,8,726328.379
Alandroal,"Muito Alta, Alta e Média Tensões",2021,9,364667.354
Alandroal,"Muito Alta, Alta e Média Tensões",2021,10,220406.326
Alandroal,"Muito Alta, Alta e Média Tensões",2021,11,192955.703
Alandroal,"Muito Alta, Alta e Média Tensões",2021,12,177932.97100000002
Alandroal,"Muito Alta, Alta e Média Tensões",2022,1,201065.225
Alandroal,"Muito Alta, Alta e Média Tensões",2022,2,236452.203
Alandroal,"Muito Alta, Alta e Média Tensões",2022,3,207484.509
Alandroal,"Muito Alta, Alta e Média Tensões",2022,4,229591.242
Alandroal,"Muito Alta, Alta e Média Tensões",2022,5,419549.979
Alandroal,"Muito Alta, Alta e Média Tensões",2022,6,550768.8420000001
Alandroal,"Muito Alta, Alta e Média Tensões",2022,7,756786.42
Alandroal,"Muito Alta, Alta e Média Tensões",2022,8,621877.376
Alandroal,"Muito Alta, Alta e Média Tensões",2022,9,336901.769
Alandroal,"Muito Alta, Alta e Média Tensões",2022,10,274348.016
Alandroal,"Muito Alta, Alta e Média Tensões",2022,11,170463.949
Alandroal,"Muito Alta, Alta e Média Tensões",2022,12,140352.47
Alandroal,"Muito Alta, Alta e Média Tensões",2023,1,146673.32
Alandroal,"Muito Alta, Alta e Média Tensões",2023,2,146899.68099999998
Alandroal,"Muito Alta, Alta e Média Tensões",2023,3,219936.288
Alandroal,"Muito Alta, Alta e Média Tensões",2023,4,361439.54
Alandroal,"Muito Alta, Alta e Média Tensões",2023,5,469632.952
Alandroal,"Muito Alta, Alta e Média Tensões",2023,6,593425.219
Alandroal,"Muito Alta, Alta e Média Tensões",2023,7,754480.6460000001
Alandroal,"Muito Alta, Alta e Média Tensões",2023,8,626678.091
Alandroal,"Muito Alta, Alta e Média Tensões",2023,9,355796.831
Alandroal,"Muito Alta, Alta e Média Tensões",2023,10,263041.794
Alandroal,"Muito Alta, Alta e Média Tensões",2023,11,166068.33800000002
Alandroal,"Muito Alta, Alta e Média Tensões",2023,12,156068.3
Alandroal,"Muito Alta, Alta e Média Tensões",2024,1,138553.196
Alandroal,"Muito Alta, Alta e Média Tensões",2024,2,59418.804000000004
Albergaria-a-Velha,Baixa Tensão,2020,11,4153406.979
Albergaria-a-Velha,Baixa Tensão,2020,12,4759787.523
Albergaria-a-Velha,Baixa Tensão,2021,1,5061082.049
Albergaria-a-Velha,Baixa Tensão,2021,2,4231443.841
Albergaria-a-Velha,Baixa Tensão,2021,3,4092517.9809999997
Albergaria-a-Velha,Baixa Tensão,2021,4,3691980.894
Albergaria-a-Velha,Baixa Tensão,2021,5,3752446.223
Albergaria-a-Velha,Baixa Tensão,2021,6,3621663.765
Albergaria-a-Velha,Baixa Tensão,2021,7,3791107.66
Albergaria-a-Velha,Baixa Tensão,2021,8,3748788.056
Albergaria-a-Velha,Baixa Tensão,2021,9,3749425.5810000002
Albergaria-a-Velha,Baixa Tensão,2021,10,4010814.722
Albergaria-a-Velha,Baixa Tensão,2021,11,4251104.402000001
Albergaria-a-Velha,Baixa Tensão,2021,12,4696954.826
Albergaria-a-Velha,Baixa Tensão,2022,1,4754919.062
Albergaria-a-Velha,Baixa Tensão,2022,2,4191838.729
Albergaria-a-Velha,Baixa Tensão,2022,3,4433354.834
Albergaria-a-Velha,Baixa Tensão,2022,4,3953866.192
Albergaria-a-Velha,Baixa Tensão,2022,5,3902876.525
Albergaria-a-Velha,Baixa Tensão,2022,6,3715112.6580000003
Albergaria-a-Velha,Baixa Tensão,2022,7,3924105.126
Albergaria-a-Velha,Baixa Tensão,2022,8,3805085.878
Albergaria-a-Velha,Baixa Tensão,2022,9,3924970.367
Albergaria-a-Velha,Baixa Tensão,2022,10,4753495.629000001
Albergaria-a-Velha,Baixa Tensão,2022,11,4394329.016
Albergaria-a-Velha,Baixa Tensão,2022,12,4758768.984
Albergaria-a-Velha,Baixa Tensão,2023,1,4903214.442
Albergaria-a-Velha,Baixa Tensão,2023,2,4247909.678
Albergaria-a-Velha,Baixa Tensão,2023,3,4322420.968
Albergaria-a-Velha,Baixa Tensão,2023,4,3821484.4760000003
Albergaria-a-Velha,Baixa Tensão,2023,5,3825224.569
Albergaria-a-Velha,Baixa Tensão,2023,6,3765934.8669999996
Albergaria-a-Velha,Baixa Tensão,2023,7,3861949.018
Albergaria-a-Velha,Baixa Tensão,2023,8,3893563.012
Albergaria-a-Velha,Baixa Tensão,2023,9,3818281.409
Albergaria-a-Velha,Baixa Tensão,2023,10,4234533.367
Albergaria-a-Velha,Baixa Tensão,2023,11,4563933.321
Albergaria-a-Velha,Baixa Tensão,2023,12,5206773.873000001
Albergaria-a-Velha,Baixa Tensão,2024,1,5200597.018
Albergaria-a-Velha,Baixa Tensão,2024,2,1770126.9819999998
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2020,11,11440062.675999999
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2020,12,8991439.854
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,1,10944736.355999999
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,2,11033484.399
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,3,12470085.245000001
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,4,12016409.577
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,5,12446846.409
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,6,11130464.794
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,7,11926924.435
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,8,8494327.979
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,9,11482845.806
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,10,11800479.645000001
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,11,11739530.826
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2021,12,9915221.529000001
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,1,11473426.752999999
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,2,11597074.992999999
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,3,14066209.242
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,4,13561459.805
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,5,13315726.784
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,6,12162028.422999999
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,7,12492935.108
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,8,8327918.769
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,9,13000726.133
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,10,12996088.861000001
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,11,13165868.033999998
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,12,11079849.094999999
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,1,11099903.690000001
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,2,12307057.803000001
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,3,13463007.551
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,4,12027150.959
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,5,11546733.986
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,6,11218319.011
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,7,11495667.644
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,8,7835683.756
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,9,11319493.479999999
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,10,12653544.103999998
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,11,11811530.2
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,12,8871029.816
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2024,1,12277889.488
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2024,2,2024645.5119999999
Albufeira,Baixa Tensão,2020,11,15340856.350999998
Albufeira,Baixa Tensão,2020,12,16664943.969
Albufeira,Baixa Tensão,2021,1,16938939.18
Albufeira,Baixa Tensão,2021,2,13655512.765
Albufeira,Baixa Tensão,2021,3,13928654.502
Albufeira,Baixa Tensão,2021,4,13303172.434
Albufeira,Baixa Tensão,2021,5,15216090.376
Albufeira,Baixa Tensão,2021,6,16966278.111
Albufeira,Baixa Tensão,2021,7,20060994.98
Albufeira,Baixa Tensão,2021,8,22501560.504
Albufeira,Baixa Tensão,2021,9,20018790.339
Albufeira,Baixa Tensão,2021,10,18664327.081
Albufeira,Baixa Tensão,2021,11,17034825.358999997
Albufeira,Baixa Tensão,2021,12,17433641.369
Albufeira,Baixa Tensão,2022,1,17562539.927
Albufeira,Baixa Tensão,2022,2,15915875.426
Albufeira,Baixa Tensão,2022,3,18401819.606
Albufeira,Baixa Tensão,2022,4,18513888.365
Albufeira,Baixa Tensão,2022,5,19856078.563
Albufeira,Baixa Tensão,2022,6,20963149.112999998
Albufeira,Baixa Tensão,2022,7,25614561.219
Albufeira,Baixa Tensão,2022,8,25090291.166
Albufeira,Baixa Tensão,2022,9,21582414.147
Albufeira,Baixa Tensão,2022,10,19741882.503
Albufeira,Baixa Tensão,2022,11,16891650.724999998
Albufeira,Baixa Tensão,2022,12,17307821.836000003
Albufeira,Baixa Tensão,2023,1,18791070.539
Albufeira,Baixa Tensão,2023,2,17932315.726
Albufeira,Baixa Tensão,2023,3,18913013.054
Albufeira,Baixa Tensão,2023,4,18700899.021
Albufeira,Baixa Tensão,2023,5,20272168.004
Albufeira,Baixa Tensão,2023,6,22376009.656
Albufeira,Baixa Tensão,2023,7,26919676.945
Albufeira,Baixa Tensão,2023,8,27976836.054
Albufeira,Baixa Tensão,2023,9,23207996.431999996
Albufeira,Baixa Tensão,2023,10,20919854.695
Albufeira,Baixa Tensão,2023,11,17746779.476999998
Albufeira,Baixa Tensão,2023,12,19444778.397
Albufeira,Baixa Tensão,2024,1,19433850.952999998
Albufeira,Baixa Tensão,2024,2,6725424.047
Albufeira,"Muito Alta, Alta e Média Tensões",2020,11,5047671.024
Albufeira,"Muito Alta, Alta e Média Tensões",2020,12,4553454.067
Albufeira,"Muito Alta, Alta e Média Tensões",2021,1,4265698.081
Albufeira,"Muito Alta, Alta e Média Tensões",2021,2,3574062.9560000002
Albufeira,"Muito Alta, Alta e Média Tensões",2021,3,3967265.963
Albufeira,"Muito Alta, Alta e Média Tensões",2021,4,4294930.19
Albufeira,"Muito Alta, Alta e Média Tensões",2021,5,6805136.352
Albufeira,"Muito Alta, Alta e Média Tensões",2021,6,9016043.476
Albufeira,"Muito Alta, Alta e Média Tensões",2021,7,10800072.256
Albufeira,"Muito Alta, Alta e Média Tensões",2021,8,12398352.147999998
Albufeira,"Muito Alta, Alta e Média Tensões",2021,9,10946930.578
Albufeira,"Muito Alta, Alta e Média Tensões",2021,10,9658465.106
Albufeira,"Muito Alta, Alta e Média Tensões",2021,11,6956824.359999999
Albufeira,"Muito Alta, Alta e Média Tensões",2021,12,5913350.534
Albufeira,"Muito Alta, Alta e Média Tensões",2022,1,5577465.015
Albufeira,"Muito Alta, Alta e Média Tensões",2022,2,5498917.396
Albufeira,"Muito Alta, Alta e Média Tensões",2022,3,7379641.695
Albufeira,"Muito Alta, Alta e Média Tensões",2022,4,8714505.952
Albufeira,"Muito Alta, Alta e Média Tensões",2022,5,10601118.306
Albufeira,"Muito Alta, Alta e Média Tensões",2022,6,11411980.636
Albufeira,"Muito Alta, Alta e Média Tensões",2022,7,14208524.561
Albufeira,"Muito Alta, Alta e Média Tensões",2022,8,13673864.923999999
Albufeira,"Muito Alta, Alta e Média Tensões",2022,9,11752874.231
Albufeira,"Muito Alta, Alta e Média Tensões",2022,10,10701255.381000001
Albufeira,"Muito Alta, Alta e Média Tensões",2022,11,7788278.343
Albufeira,"Muito Alta, Alta e Média Tensões",2022,12,6823147.56
Albufeira,"Muito Alta, Alta e Média Tensões",2023,1,6641957.305
Albufeira,"Muito Alta, Alta e Média Tensões",2023,2,6555221.802
Albufeira,"Muito Alta, Alta e Média Tensões",2023,3,8322189.422
Albufeira,"Muito Alta, Alta e Média Tensões",2023,4,9596486.862
Albufeira,"Muito Alta, Alta e Média Tensões",2023,5,10724394.925999999
Albufeira,"Muito Alta, Alta e Média Tensões",2023,6,11970546.683
Albufeira,"Muito Alta, Alta e Média Tensões",2023,7,14138246.287
Albufeira,"Muito Alta, Alta e Média Tensões",2023,8,14733998.703
Albufeira,"Muito Alta, Alta e Média Tensões",2023,9,12398262.919
Albufeira,"Muito Alta, Alta e Média Tensões",2023,10,11447961.325
Albufeira,"Muito Alta, Alta e Média Tensões",2023,11,8050498.354
Albufeira,"Muito Alta, Alta e Média Tensões",2023,12,7181648.4120000005
Albufeira,"Muito Alta, Alta e Média Tensões",2024,1,6690960.062
Albufeira,"Muito Alta, Alta e Média Tensões",2024,2,1676259.938
Alcanena,Baixa Tensão,2020,11,2569618.847
Alcanena,Baixa Tensão,2020,12,2845891.5149999997
Alcanena,Baixa Tensão,2021,1,2975398.5640000002
Alcanena,Baixa Tensão,2021,2,2481456.482
Alcanena,Baixa Tensão,2021,3,2529445.8329999996
Alcanena,Baixa Tensão,2021,4,2238145.216
Alcanena,Baixa Tensão,2021,5,2086195.823
Alcanena,Baixa Tensão,2021,6,2009059.569
Alcanena,Baixa Tensão,2021,7,2083058.599
Alcanena,Baixa Tensão,2021,8,2070556.0389999999
Alcanena,Baixa Tensão,2021,9,2103201.26
Alcanena,Baixa Tensão,2021,10,2286302.779
Alcanena,Baixa Tensão,2021,11,2473061.2539999997
Alcanena,Baixa Tensão,2021,12,2720943.582
Alcanena,Baixa Tensão,2022,1,2834874.881
Alcanena,Baixa Tensão,2022,2,2494881.114
Alcanena,Baixa Tensão,2022,3,2628239.019
Alcanena,Baixa Tensão,2022,4,2259451.222
Alcanena,Baixa Tensão,2022,5,2144735.099
Alcanena,Baixa Tensão,2022,6,2064524.6649999998
Alcanena,Baixa Tensão,2022,7,2260545.14
Alcanena,Baixa Tensão,2022,8,2146396.532
