energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
79414,0,16,0,13,0,24
76701,0,16,0,13,0,24
74596,0,16,0,13,0,24
82621,0,16,0,13,0,24
103085,0,16,0,13,0,24
167598,0,16,0,13,0,24
218642,0,16,0,13,0,24
853237,0,45,0,35,0,98
1006906,0,45,0,35,0,98
675188,0,45,0,35,0,98
526017,0,45,0,35,0,98
501989,0,45,0,35,0,98
536596,0,46,0,35,0,98
465619,0,46,0,35,0,98
509682,0,46,0,35,0,98
482878,0,46,0,35,0,98
545522,0,46,0,35,0,98
590486,0,46,0,35,0,98
669772,0,46,0,35,0,98
874761,0,46,0,35,0,98
1025857,0,46,0,35,0,98
676013,0,46,0,35,0,98
544703,0,46,0,35,0,98
564895,0,46,0,35,0,98
240255,0,18,0,19,1,39
216090,0,18,0,19,1,39
222572,0,19,0,19,1,39
210823,0,19,0,19,1,39
210975,0,19,0,19,1,39
174078,0,19,0,19,1,39
191019,0,19,0,19,1,39
214491,0,19,0,19,1,39
213575,0,19,0,19,1,39
220522,0,19,0,19,1,39
223662,0,19,0,19,1,39
242211,0,19,0,19,1,39
268408,0,19,0,19,1,39
241027,0,19,0,19,1,39
240595,0,20,0,19,1,39
223689,0,20,0,19,1,39
240554,0,20,0,19,1,39
14982740,0,61,0,19,2,54
15586892,0,61,0,19,2,54
14999179,0,61,0,19,2,54
15339113,0,61,0,19,2,54
14563686,0,61,0,19,2,54
14887996,0,61,0,19,2,54
14382109,0,61,0,19,2,54
16253851,0,61,0,19,2,54
16913354,0,61,0,19,2,54
17990129,0,61,0,19,2,54
13325907,0,63,0,19,2,54
18656982,0,64,0,19,2,54
17344140,0,66,0,19,2,54
15354614,0,66,0,19,2,54
15503516,0,66,0,19,2,54
14043785,0,66,0,19,2,54
14225784,0,66,0,19,2,54
15233759,0,130,0,2544,4,469
13465518,0,130,0,2544,4,469
13129118,0,130,0,2544,4,469
12854437,0,132,0,2544,4,469
14042057,0,133,0,2544,4,469
14113759,0,133,0,2544,4,469
13154489,0,134,0,2544,4,469
13608758,0,132,0,2544,4,469
12561456,0,132,0,2544,4,469
13780463,0,132,0,2544,4,469
13643200,0,131,0,2544,4,469
14012158,0,131,0,2544,4,469
15129317,0,131,0,2544,4,469
13236820,0,131,0,2544,4,469
12838982,0,131,0,2544,4,469
11196092,0,130,0,2544,4,469
14038560,0,130,0,2544,4,469
199005,0,37,0,11,3,22
166816,0,37,0,11,3,22
178631,0,37,0,11,3,22
196239,0,37,0,11,3,22
205717,0,37,0,11,3,22
211282,0,37,0,11,3,22
184682,0,37,0,11,3,22
174068,0,37,0,11,3,22
163121,0,37,0,11,3,22
176946,0,37,0,11,3,22
181261,0,37,0,11,3,22
199573,0,37,0,11,3,22
198488,0,37,0,11,3,22
171614,0,37,0,11,3,22
186567,0,37,0,11,3,22
178513,0,37,0,11,3,22
180169,0,37,0,11,3,22
3429306,0,66,0,101,0,101
2650660,0,66,0,101,0,101
1807243,0,66,0,101,0,101
1552027,0,66,0,101,0,101
1418894,0,66,0,101,0,101
1505746,0,66,0,101,0,101
1376174,0,66,0,101,0,101
1577489,0,66,0,101,0,101
1580686,0,66,0,101,0,101
2038844,0,66,0,101,0,101
2328393,0,67,0,101,0,101
2916900,0,67,0,101,0,101
3482620,0,66,0,101,0,101
2612865,0,66,0,101,0,101
1761773,0,66,0,101,0,101
1510164,0,66,0,101,0,101
1472316,0,66,0,101,0,101
313319,0,20,0,9,0,33
282811,0,20,0,9,0,33
274532,0,20,0,9,0,33
262509,0,20,0,9,0,33
269561,0,20,0,9,0,33
270797,0,20,0,9,0,33
246768,0,20,0,9,0,33
260507,0,20,0,9,0,33
275392,0,20,0,9,0,33
290012,0,20,0,9,0,33
295585,0,20,0,9,0,33
332950,0,19,0,9,0,33
348028,0,19,0,9,0,33
290181,0,19,0,9,0,33
288351,0,19,0,9,0,33
260568,0,19,0,9,0,33
274256,0,19,0,9,0,33
3013042,0,50,0,75,0,33
2810578,0,50,0,75,0,33
1934622,0,51,0,75,0,33
1999890,0,51,0,75,0,33
2018465,0,51,0,75,0,33
1677719,0,51,0,75,0,33
956977,0,51,0,75,0,33
1104206,0,50,0,75,0,33
1291676,0,50,0,75,0,33
2274726,0,50,0,75,0,33
2394656,0,50,0,75,0,33
2631148,0,50,0,75,0,33
2881766,0,51,0,75,0,33
2503724,0,51,0,75,0,33
2006964,0,51,0,75,0,33
2079852,0,51,0,75,0,33
1710975,0,51,0,75,0,33
335418,0,27,0,9,0,14
284430,0,27,0,9,0,14
268508,0,27,0,9,0,14
278901,0,27,0,9,0,14
351229,0,27,0,9,0,14
274850,0,27,0,9,0,14
279454,0,27,0,9,0,14
307959,0,27,0,9,0,14
293745,0,27,0,9,0,14
284899,0,27,0,9,0,14
280727,0,27,0,9,0,14
325422,0,27,0,9,0,14
304500,0,27,0,9,0,14
258393,0,27,0,9,0,14
257105,0,27,0,9,0,14
256630,0,27,0,9,0,14
292759,0,27,0,9,0,14
140771,0,16,0,39,1,60
147236,0,16,0,39,1,60
157841,0,16,0,39,1,60
154140,0,16,0,39,1,60
155369,0,16,0,39,1,60
168463,0,17,0,39,1,60
135302,0,17,0,39,1,60
156560,0,17,0,39,1,60
152957,0,17,0,39,1,60
168364,0,17,0,39,1,60
165780,0,17,0,39,1,60
167849,0,17,0,39,1,60
166389,0,17,0,39,1,60
174871,0,17,0,39,1,60
180352,0,17,0,39,1,60
171844,0,17,0,39,1,60
176524,0,17,0,39,1,60
735138,0,33,0,9,0,16
539029,0,33,0,9,0,16
417393,0,33,0,9,0,16
452614,0,33,0,9,0,16
412734,0,33,0,9,0,16
289935,0,33,0,9,0,16
400328,0,34,0,9,0,16
534734,0,35,0,9,0,16
577884,0,35,0,9,0,16
603754,0,35,0,9,0,16
797352,0,41,0,9,0,16
991232,0,43,0,9,0,16
808603,0,43,0,9,0,16
765940,0,44,0,9,0,16
619664,0,44,0,9,0,16
444812,0,44,0,9,0,16
365062,0,44,0,9,0,16
19978619,0,133,0,7310,1,423
19215277,0,133,0,7310,1,423
19114265,0,133,0,7310,1,423
18224446,0,133,0,7310,1,423
18577550,0,133,0,7310,1,423
18858195,0,133,0,7310,1,423
16691214,0,133,0,7310,1,423
18317944,0,133,0,7310,1,423
17369949,0,133,0,7310,1,423
19079612,0,133,0,7310,1,423
18911451,0,133,0,7310,1,423
19872872,0,133,0,7310,1,423
20051807,0,133,0,7310,1,423
19019284,0,133,0,7310,1,423
19375792,0,133,0,7310,1,423
18093754,0,133,0,7310,1,423
18191843,0,133,0,7310,1,423
2445344,0,119,0,173,3,427
2183260,0,119,0,173,3,427
2367167,0,119,0,173,3,427
2296461,0,119,0,173,3,427
2313503,0,121,0,173,3,427
2503744,0,121,0,173,3,427
2207543,0,122,0,173,3,427
2384466,0,122,0,173,3,427
2074550,0,123,0,173,3,427
2265956,0,123,0,173,3,427
2304294,0,123,0,173,3,427
2361393,0,123,0,173,3,427
2312408,0,124,0,173,3,427
2186669,0,124,0,173,3,427
2414340,0,126,0,173,3,427
2410418,0,126,0,173,3,427
2310389,0,126,0,173,3,427
989995,0,34,0,232,0,120
973499,0,34,0,232,0,120
979224,0,34,0,232,0,120
889949,0,34,0,232,0,120
889410,0,34,0,232,0,120
1018056,0,34,0,232,0,120
932041,0,34,0,232,0,120
1020964,0,35,0,232,0,120
923672,0,35,0,232,0,120
942914,0,35,0,232,0,120
914817,0,36,0,232,0,120
903450,0,36,0,232,0,120
855043,0,36,0,232,0,120
871580,0,36,0,232,0,120
975975,0,36,0,232,0,120
950062,0,36,0,232,0,120
913669,0,36,0,232,0,120
6257324,0,120,0,128,0,384
6800294,0,120,0,128,0,384
6845376,0,120,0,128,0,384
6466860,0,119,0,128,0,384
6289274,0,119,0,128,0,384
6646072,0,119,0,128,0,384
5834129,0,120,0,128,0,384
6337156,0,120,0,128,0,384
5356645,0,120,0,128,0,384
5892187,0,120,0,128,0,384
5713022,0,120,0,128,0,384
5321412,1,120,0,128,0,384
4532154,1,120,0,128,0,384
5385656,1,120,0,128,0,384
5764930,1,120,0,128,0,384
5630956,1,120,0,128,0,384
4678842,1,120,0,128,0,384
1209272,0,57,0,66,10,91
1539566,0,57,0,66,10,91
1649161,0,57,0,66,10,91
1555155,0,57,0,66,10,91
1126187,0,57,0,66,10,91
1608040,0,57,0,66,10,91
1532873,0,58,0,66,10,91
1571387,0,58,0,66,10,91
1380533,0,58,0,66,10,91
1239659,0,58,0,66,10,91
986440,0,57,0,66,10,91
1104666,0,57,0,66,10,91
1130046,0,57,0,66,10,91
1464254,0,57,0,66,10,91
1553979,0,57,0,66,10,91
1525336,0,57,0,66,10,91
923362,0,57,0,66,10,91
3568312,0,43,0,46,1,129
4735630,0,43,0,46,1,129
