ano,mês,energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2022,9,18464831.15 - 25417395.44,9317038.68 - 18336169.09,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
2022,10,18464831.15 - 25417395.44,9317038.68 - 18336169.09,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
2022,11,12252934.51 - 18464831.15,3353532.66 - 9317038.68,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
2022,12,12252934.51 - 18464831.15,3353532.66 - 9317038.68,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
2023,1,18464831.15 - 25417395.44,3353532.66 - 9317038.68,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
2023,2,12252934.51 - 18464831.15,3353532.66 - 9317038.68,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
2023,3,18464831.15 - 25417395.44,3353532.66 - 9317038.68,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
2023,4,18464831.15 - 25417395.44,9317038.68 - 18336169.09,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
2023,5,18464831.15 - 25417395.44,9317038.68 - 18336169.09,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
2023,6,18464831.15 - 25417395.44,9317038.68 - 18336169.09,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
2023,7,25417395.44 - 34389550.85,9317038.68 - 18336169.09,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,66111.12 - 91019.96,12.51 - 28.31
2023,8,25417395.44 - 34389550.85,9317038.68 - 18336169.09,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,66111.12 - 91019.96,12.51 - 28.31
2023,9,18464831.15 - 25417395.44,9317038.68 - 18336169.09,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,66111.12 - 91019.96,12.51 - 28.31
2023,10,18464831.15 - 25417395.44,9317038.68 - 18336169.09,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,66111.12 - 91019.96,12.51 - 28.31
2023,11,12252934.51 - 18464831.15,3353532.66 - 9317038.68,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,66111.12 - 91019.96,12.51 - 28.31
2023,12,18464831.15 - 25417395.44,3353532.66 - 9317038.68,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,66111.12 - 91019.96,12.51 - 28.31
2024,1,6866211.91 - 12252934.51,0.00 - 3353532.66,40878.28 - 47539.03,0.00 - 0.54,407.69 - 466.10,7947.00 - 11173.19,111.81 - 143.91,83.89 - 148.16,0.00 - 27.46,66111.12 - 91019.96,12.51 - 28.31
2022,8,139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
