energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
-0.08883503706512753,-0.19160534447369415,0.31888958290558667,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.07046328856957464,-0.19160534447369415,0.31888958290558667,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.05662747165479302,-0.19160534447369415,0.31888958290558667,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.08405474206616508,-0.19160534447369415,0.31888958290558667,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.1313610005786346,-0.19160534447369415,0.31888958290558667,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.039152912478010664,-0.19160534447369415,0.3023749559240396,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.10374347137776892,-0.19160534447369415,0.3023749559240396,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.06851256952652039,-0.19160534447369415,0.3023749559240396,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.10527982311855177,-0.19160534447369415,0.3023749559240396,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.08660109264976684,-0.19160534447369415,0.3023749559240396,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.13271622540253394,-0.19160534447369415,0.31063226941481314,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.08780746108405155,-0.19160534447369415,0.31063226941481314,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.12549607255995696,-0.19160534447369415,0.3023749559240396,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.10333754934114449,-0.19160534447369415,0.3023749559240396,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.07463174810365884,-0.19160534447369415,0.29411764243326616,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.0612936525764771,-0.19160534447369415,0.29411764243326616,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.09924255675211917,-0.19160534447369415,0.28586032894249264,-0.09491178364051915,-0.3113529714630122,-0.4444759597305478,-0.217444711257239
-0.47642150938096395,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.4785320018643472,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.4776757343205814,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.47692266380337967,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.4756971390348226,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.47787883266028625,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.4799178493588038,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.4797742111821092,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.48137421138837766,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.48140449075545333,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.481600173739956,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.4806694780013829,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.4794482101959975,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.4804407005612556,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
-0.4788972767687521,-0.19160534447369415,-0.655473409005688,-0.09491178364051915,-0.33705159371250853,-0.06880432813166373,-0.5264057172752655
