energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
0.018700899,0.042714,0.0457,0.10381,0.013,0.06203,0.02,0.032
0.020272168,0.042714,0.0457,0.10381,0.013,0.06403,0.022,0.032
0.022376009,0.042966,0.0458,0.10471,0.0132,0.065194,0.022,0.032
0.026919676,0.043028,0.0458,0.1049,0.0129,0.068,0.022,0.032
0.027976836,0.043051,0.0458,0.1049,0.0135,0.068704,0.022,0.032
0.023207996,0.043048,0.0458,0.10495,0.0134,0.071436,0.022,0.032
0.020919854,0.043035,0.0458,0.10499,0.0132,0.074536,0.02,0.032
0.017746779,0.042866,0.0458,0.10384,0.0134,0.076134,0.02,0.032
0.019444778,0.042858,0.0459,0.10384,0.0137,0.078468,0.02,0.032
0.002146396,0.006487,0.0113,0.01476,0.0029,0.004976,0.002,0.0098
0.002063272,0.006493,0.0113,0.01478,0.0029,0.00493,0.002,0.0098
0.002172494,0.006492,0.0113,0.0148,0.0029,0.005098,0.002,0.0098
0.002388084,0.006498,0.0113,0.01484,0.0029,0.00544,0.002,0.0098
0.002762983,0.006498,0.0114,0.01487,0.0034,0.005576,0.002,0.0098
0.002928156,0.006505,0.0114,0.0148,0.0029,0.005936,0.002,0.0098
0.002569963,0.006506,0.0114,0.0148,0.0029,0.006534,0.002,0.0098
0.002497227,0.006516,0.0114,0.0148,0.0029,0.006882,0.002,0.0098
0.00207042,0.006516,0.0114,0.0148,0.0029,0.007098,0.002,0.0098
0.002032625,0.006516,0.0114,0.0148,0.0029,0.00745,0.0,0.0098
0.002021095,0.006533,0.0114,0.01488,0.0031,0.00772,0.002,0.0098
0.002110068,0.006534,0.0114,0.01488,0.0032,0.008242,0.002,0.0098
0.00215338,0.006527,0.0114,0.01489,0.0032,0.008592,0.002,0.0098
0.002063624,0.006532,0.0114,0.01493,0.003,0.008984,0.002,0.0098
0.002259207,0.006535,0.0114,0.01501,0.0029,0.009798,0.004,0.0098
0.002507208,0.006532,0.0114,0.01503,0.0029,0.011198,0.004,0.0098
0.003063576,0.006544,0.0114,0.01503,0.0034,0.011778,0.004,0.0098
0.010967753,0.030438,0.0515,0.07359,0.0295,0.034094,0.006,0.0137
0.010495665,0.030457,0.0516,0.07368,0.0292,0.033804,0.006,0.0137
0.010986606,0.030482,0.0516,0.07371,0.0289,0.03425,0.006,0.0137
0.011454515,0.03048,0.0516,0.07351,0.0291,0.03515,0.004,0.0137
0.012673289,0.030497,0.0516,0.07353,0.0298,0.03579,0.004,0.0137
0.013505565,0.030532,0.0516,0.07348,0.028,0.0378,0.004,0.0137
0.011994607,0.030549,0.0522,0.07354,0.0282,0.039636,0.004,0.0137
0.011775974,0.030564,0.0522,0.0736,0.0283,0.041374,0.004,0.0137
0.010289382,0.030564,0.0522,0.0736,0.0283,0.043504,0.006,0.0137
0.010413268,0.030564,0.0522,0.0736,0.0283,0.044128,0.006,0.0137
0.010310849,0.030709,0.0526,0.07443,0.0268,0.04562,0.008,0.0137
0.010992526,0.030761,0.0526,0.07459,0.0267,0.04704,0.008,0.0137
0.011171971,0.030782,0.0526,0.07472,0.0262,0.047696,0.01,0.0137
0.010641167,0.030813,0.0526,0.07469,0.0257,0.05004,0.01,0.0137
0.011251493,0.030838,0.0526,0.07478,0.026,0.051516,0.012,0.0137
0.011915057,0.030859,0.0526,0.07463,0.0269,0.052986,0.012,0.0137
0.014105625,0.030869,0.0526,0.07462,0.027,0.05439,0.012,0.0137
0.003905977,0.008504,0.0105,0.02979,0.0085,0.01517,0.004,0.0153
0.003649236,0.008516,0.0105,0.0298,0.0083,0.014556,0.004,0.0153
0.00363832,0.00853,0.0105,0.02981,0.0082,0.015354,0.004,0.0153
0.00367118,0.008538,0.0105,0.02983,0.009,0.015294,0.004,0.0153
0.004120391,0.008538,0.0105,0.0298,0.0091,0.015234,0.006,0.0153
0.00469432,0.008538,0.0105,0.0298,0.0085,0.014488,0.006,0.0153
0.004276879,0.008546,0.0105,0.02989,0.0082,0.015538,0.008,0.0153
0.004017287,0.008558,0.0105,0.02987,0.0081,0.01495,0.008,0.0153
0.003552665,0.008558,0.0105,0.02987,0.0081,0.016002,0.008,0.0153
0.003668783,0.008558,0.0105,0.02987,0.0081,0.015298,0.008,0.0153
0.003782734,0.008561,0.0105,0.02988,0.008,0.01579,0.006,0.0153
0.004033636,0.008578,0.0105,0.02997,0.0083,0.01581,0.008,0.0153
0.004035012,0.008591,0.0105,0.03,0.0082,0.015878,0.01,0.0153
0.003736039,0.008589,0.0105,0.03002,0.008,0.015596,0.012,0.0153
0.003787489,0.008589,0.0105,0.03007,0.0082,0.015186,0.014,0.0153
0.003824628,0.008584,0.0105,0.03013,0.0085,0.015424,0.014,0.0153
0.004670583,0.008589,0.0104,0.03008,0.0085,0.015906,0.014,0.0153
0.000662541,0.002859,0.009,0.00733,0.001,0.003556,0.004,0.0004
0.000590175,0.002857,0.009,0.00734,0.001,0.003346,0.004,0.0004
0.000587599,0.002855,0.009,0.00735,0.001,0.003672,0.004,0.0004
0.000581174,0.002857,0.0091,0.00734,0.0012,0.00378,0.004,0.0004
0.000628188,0.002857,0.0091,0.00734,0.0013,0.003798,0.004,0.0004
0.000662248,0.002849,0.0091,0.00736,0.0011,0.003788,0.004,0.0004
0.000593736,0.00285,0.0091,0.00737,0.0012,0.003798,0.004,0.0004
0.000583803,0.002851,0.0091,0.00736,0.0017,0.003914,0.004,0.0004
0.000527396,0.002851,0.0091,0.00736,0.0017,0.004044,0.004,0.0004
0.000538974,0.002851,0.0091,0.00736,0.0017,0.004092,0.004,0.0004
0.000568502,0.002849,0.0091,0.00737,0.0012,0.00416,0.004,0.0004
0.000678621,0.002853,0.0091,0.00736,0.0012,0.004208,0.004,0.0004
0.000698657,0.002856,0.0091,0.00736,0.0014,0.004078,0.004,0.0004
0.000596123,0.002863,0.0091,0.00737,0.0012,0.004276,0.004,0.0004
0.000569771,0.002864,0.0091,0.00735,0.0012,0.004268,0.004,0.0004
0.00056556,0.002865,0.0091,0.00734,0.0012,0.004266,0.004,0.0004
0.000650589,0.002862,0.0091,0.00736,0.0012,0.004578,0.004,0.0004
0.003076743,0.006642,0.0102,0.01465,0.0066,0.01289,0.002,0.0007
0.002739048,0.006638,0.0102,0.01461,0.0066,0.012844,0.002,0.0007
0.002675299,0.006641,0.0102,0.01454,0.0066,0.01324,0.002,0.0007
0.002638154,0.006642,0.0102,0.01454,0.0076,0.012764,0.002,0.0007
0.002958991,0.006653,0.0102,0.01454,0.0072,0.013212,0.002,0.0007
0.003301439,0.006668,0.0102,0.01449,0.0064,0.013604,0.002,0.0007
0.002990418,0.00667,0.0102,0.01449,0.0063,0.013758,0.002,0.0007
0.002883112,0.006676,0.0102,0.01452,0.006,0.013634,0.002,0.0007
0.002607144,0.006676,0.0102,0.01452,0.006,0.01345,0.002,0.0007
0.002722612,0.006676,0.0102,0.01452,0.006,0.0137,0.002,0.0007
0.002889423,0.006703,0.0102,0.01461,0.0066,0.013864,0.002,0.0007
0.003306583,0.006707,0.0102,0.01459,0.0068,0.01367,0.002,0.0007
0.003336683,0.006713,0.0102,0.01461,0.0062,0.01429,0.002,0.0007
0.002815397,0.006719,0.0102,0.01465,0.0064,0.014432,0.002,0.0007
0.002769654,0.006727,0.0102,0.01465,0.0059,0.014282,0.004,0.0007
0.002846053,0.006728,0.0102,0.01466,0.0071,0.01424,0.004,0.0007
0.00347644,0.006725,0.0102,0.01462,0.0074,0.014862,0.004,0.0007
0.006151015,0.019888,0.027,0.04232,0.0084,0.033202,0.004,0.0152
0.006014318,0.019918,0.027,0.04232,0.0082,0.03312,0.004,0.0152
0.006272492,0.019921,0.027,0.04241,0.0079,0.033924,0.004,0.0152
