energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
-0.06274272236672533,0.04983291046659876,0.40707674356241574,0.011486426781069042,-0.2248817548319651,-0.09851820724476476,-0.2948694532515081,-0.3113529714630122
-0.11244616501704167,0.05017318736666226,0.40707674356241574,0.010467040645795631,-0.23456079352929604,-0.0896925836579792,-0.2948694532515081,-0.3113529714630122
-0.10303741201176139,0.050513464266725754,0.40707674356241574,0.00915640132901553,-0.23456079352929604,-0.07805681126744106,-0.2948694532515081,-0.3113529714630122
-0.06805516015816206,0.05088776885679559,0.40707674356241574,0.010030160873535596,-0.2394003128779615,-0.06022992979363543,-0.2948694532515081,-0.3113529714630122
0.010825016888249196,0.05109193499683369,0.4122307523874126,0.010612667236548976,-0.22972127418063057,-0.0496479632045045,-0.2948694532515081,-0.3113529714630122
0.06063804217093885,0.05112596268684004,0.4122307523874126,0.010175787464288941,-0.22972127418063057,-0.0002947248385992648,-0.2948694532515081,-0.3113529714630122
-0.012110737734474467,0.050785685786776544,0.4122307523874126,0.010321414055042286,-0.07969617437200092,0.006950190046075436,-0.2948694532515081,-0.3113529714630122
-0.0483989547395527,0.050513464266725754,0.4122307523874126,0.011195173599562354,-0.2635979096212889,0.027762854623868214,-0.2948694532515081,-0.3113529714630122
-0.12455061703501547,0.050513464266725754,0.4122307523874126,0.011195173599562354,-0.2635979096212889,0.042428318693452156,-0.2948694532515081,-0.3113529714630122
-0.11886185274395034,0.050513464266725754,0.4122307523874126,0.011195173599562354,-0.2635979096212889,0.03746664971182645,-0.2948694532515081,-0.3113529714630122
-0.10624415920529974,0.05218082107703687,0.41738476121240936,0.015563971322162692,-0.25391887092395793,0.06556813774935256,-0.2109362364990625,-0.3113529714630122
-0.06388933294349047,0.05269123642713212,0.41738476121240936,0.014835838368395969,-0.2732769483186198,0.05876230861526421,-0.2109362364990625,-0.3113529714630122
-0.055756175768938966,0.05269123642713212,0.42253877003740614,0.014398958596135934,-0.2781164676672853,0.0647338748232385,-0.2109362364990625,-0.3113529714630122
-0.10745859459840679,0.05269123642713212,0.42253877003740614,0.015272718140656002,-0.28779550636461626,0.06649021782558388,-0.2109362364990625,-0.3113529714630122
-0.08455379981100337,0.0536440117473099,0.42253877003740614,0.016292104275929413,-0.2926350257132817,0.09292318001088189,-0.2109362364990625,-0.3113529714630122
-0.038433852649975314,0.053984288647373396,0.42253877003740614,0.01585522450366938,-0.2926350257132817,0.11031097573410117,-0.2109362364990625,-0.3113529714630122
0.08999598018084272,0.05388220557735435,0.42253877003740614,0.016728984048189448,-0.2974745450619472,0.13696348079469234,-0.2109362364990625,-0.3113529714630122
