energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
0.012520614,0,181,0,152,8,268
0.012861812,0,180,0,152,8,268
0.012940024,0,180,0,152,8,268
0.012482668,0,179,0,152,8,268
0.012564698,0,179,0,152,8,268
0.013274643,0,182,0,152,8,268
0.011447775,0,181,0,152,8,268
0.013196064,0,182,0,152,8,268
0.012125816,0,182,0,152,8,268
0.012742307,0,182,0,152,8,268
0.012944518,0,183,0,152,8,268
0.014516812,0,183,0,152,8,268
0.01409408,0,184,0,152,8,268
0.014668338,0,184,0,152,8,268
0.015084669,0,184,0,152,8,268
0.014761267,0,184,0,152,8,268
0.013350337,0,185,0,152,8,268
8.8363e-05,0,16,0,13,0,24
0.000103964,0,16,0,13,0,24
0.000112291,0,16,0,13,0,24
0.000132017,0,16,0,13,0,24
0.000152452,0,17,0,13,0,24
0.000125304,0,17,0,13,0,24
0.000103167,0,16,0,13,0,24
0.000110029,0,16,0,13,0,24
8.9077e-05,0,16,0,13,0,24
8.3498e-05,0,16,0,13,0,24
7.9414e-05,0,16,0,13,0,24
7.6701e-05,0,16,0,13,0,24
7.4596e-05,0,16,0,13,0,24
8.2621e-05,0,16,0,13,0,24
0.000103085,0,16,0,13,0,24
0.000167598,0,16,0,13,0,24
0.000218642,0,16,0,13,0,24
0.000853237,0,45,0,35,0,98
0.001006906,0,45,0,35,0,98
0.000675188,0,45,0,35,0,98
0.000526017,0,45,0,35,0,98
0.000501989,0,45,0,35,0,98
0.000536596,0,46,0,35,0,98
0.000465619,0,46,0,35,0,98
0.000509682,0,46,0,35,0,98
0.000482878,0,46,0,35,0,98
0.000545522,0,46,0,35,0,98
0.000590486,0,46,0,35,0,98
0.000669772,0,46,0,35,0,98
0.000874761,0,46,0,35,0,98
0.001025857,0,46,0,35,0,98
0.000676013,0,46,0,35,0,98
0.000544703,0,46,0,35,0,98
0.000564895,0,46,0,35,0,98
0.000240255,0,18,0,19,1,39
0.00021609,0,18,0,19,1,39
0.000222572,0,19,0,19,1,39
0.000210823,0,19,0,19,1,39
0.000210975,0,19,0,19,1,39
0.000174078,0,19,0,19,1,39
0.000191019,0,19,0,19,1,39
0.000214491,0,19,0,19,1,39
0.000213575,0,19,0,19,1,39
0.000220522,0,19,0,19,1,39
0.000223662,0,19,0,19,1,39
0.000242211,0,19,0,19,1,39
0.000268408,0,19,0,19,1,39
0.000241027,0,19,0,19,1,39
0.000240595,0,20,0,19,1,39
0.000223689,0,20,0,19,1,39
0.000240554,0,20,0,19,1,39
0.01498274,0,61,0,19,2,54
0.015586892,0,61,0,19,2,54
0.014999179,0,61,0,19,2,54
0.015339113,0,61,0,19,2,54
0.014563686,0,61,0,19,2,54
0.014887996,0,61,0,19,2,54
0.014382109,0,61,0,19,2,54
0.016253851,0,61,0,19,2,54
0.016913354,0,61,0,19,2,54
0.017990129,0,61,0,19,2,54
0.013325907,0,63,0,19,2,54
0.018656982,0,64,0,19,2,54
0.01734414,0,66,0,19,2,54
0.015354614,0,66,0,19,2,54
0.015503516,0,66,0,19,2,54
0.014043785,0,66,0,19,2,54
0.014225784,0,66,0,19,2,54
0.015233759,0,130,0,2544,4,469
0.013465518,0,130,0,2544,4,469
0.013129118,0,130,0,2544,4,469
0.012854437,0,132,0,2544,4,469
0.014042057,0,133,0,2544,4,469
0.014113759,0,133,0,2544,4,469
0.013154489,0,134,0,2544,4,469
0.013608758,0,132,0,2544,4,469
0.012561456,0,132,0,2544,4,469
