ano,mes,energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
2022,8,9260857.23 - 18073778.11,0,297,0,137,36,667
2022,9,9260857.23 - 18073778.11,0,297,0,137,36,667
2022,10,9260857.23 - 18073778.11,0,297,0,137,36,667
2022,11,9260857.23 - 18073778.11,0,297,0,137,36,667
2022,12,9260857.23 - 18073778.11,0,298,0,137,36,667
2023,1,9260857.23 - 18073778.11,0,298,0,137,36,667
2023,2,9260857.23 - 18073778.11,0,298,0,137,36,667
2023,3,9260857.23 - 18073778.11,0,298,0,137,36,667
2023,4,3349844.95 - 9260857.23,0,298,0,137,36,667
2023,5,9260857.23 - 18073778.11,0,298,0,137,36,667
2023,6,9260857.23 - 18073778.11,0,299,0,137,36,667
2023,7,9260857.23 - 18073778.11,0,301,0,137,36,667
2023,8,9260857.23 - 18073778.11,0,302,0,137,36,667
2023,9,9260857.23 - 18073778.11,0,304,0,137,36,667
2023,10,9260857.23 - 18073778.11,0,304,0,137,36,667
2023,11,9260857.23 - 18073778.11,0,305,0,137,36,667
2023,12,9260857.23 - 18073778.11,0,305,0,137,36,667
2022,8,0.00 - 3349844.95,0,80,0,153,0,85
2022,9,0.00 - 3349844.95,0,80,0,153,0,85
2022,10,0.00 - 3349844.95,0,80,0,153,0,85
2022,11,0.00 - 3349844.95,0,79,0,153,0,85
2022,12,0.00 - 3349844.95,0,79,0,153,0,85
2023,1,0.00 - 3349844.95,0,79,0,153,0,85
2023,2,0.00 - 3349844.95,0,79,0,153,0,85
2023,3,0.00 - 3349844.95,0,79,0,153,0,85
2023,4,0.00 - 3349844.95,0,79,0,153,0,85
2023,5,0.00 - 3349844.95,0,79,0,153,0,85
2023,6,0.00 - 3349844.95,0,85,0,153,0,85
2023,7,0.00 - 3349844.95,0,85,0,153,0,85
2023,8,0.00 - 3349844.95,0,89,0,153,0,85
2023,9,0.00 - 3349844.95,0,89,0,153,0,85
2023,10,0.00 - 3349844.95,0,89,0,153,0,85
2023,11,0.00 - 3349844.95,0,95,0,153,0,85
2023,12,0.00 - 3349844.95,0,102,0,153,0,85
2022,8,0.00 - 3349844.95,0,14,0,4,0,18
2022,9,0.00 - 3349844.95,0,14,0,4,0,18
2022,10,0.00 - 3349844.95,0,14,0,4,0,18
2022,11,0.00 - 3349844.95,0,14,0,4,0,18
2022,12,0.00 - 3349844.95,0,14,0,4,0,18
2023,1,0.00 - 3349844.95,0,14,0,4,0,18
2023,2,0.00 - 3349844.95,0,14,0,4,0,18
2023,3,0.00 - 3349844.95,0,14,0,4,0,18
2023,4,0.00 - 3349844.95,0,14,0,4,0,18
2023,5,0.00 - 3349844.95,0,14,0,4,0,18
2023,6,0.00 - 3349844.95,0,14,0,4,0,18
2023,7,0.00 - 3349844.95,0,14,0,4,0,18
2023,8,0.00 - 3349844.95,0,14,0,4,0,18
2023,9,0.00 - 3349844.95,0,14,0,4,0,18
2023,10,0.00 - 3349844.95,0,14,0,4,0,18
2023,11,0.00 - 3349844.95,0,14,0,4,0,18
2023,12,0.00 - 3349844.95,0,14,0,4,0,18
2022,8,3349844.95 - 9260857.23,0,146,0,7,1,70
2022,9,3349844.95 - 9260857.23,0,146,0,7,1,70
2022,10,0.00 - 3349844.95,0,146,0,7,1,70
2022,11,0.00 - 3349844.95,0,146,0,7,1,70
2022,12,0.00 - 3349844.95,0,146,0,7,1,70
2023,1,0.00 - 3349844.95,0,146,0,7,1,70
2023,2,0.00 - 3349844.95,0,147,0,7,1,70
2023,3,0.00 - 3349844.95,0,147,0,7,1,70
2023,4,0.00 - 3349844.95,0,147,0,7,1,70
2023,5,3349844.95 - 9260857.23,0,147,0,7,1,70
2023,6,3349844.95 - 9260857.23,0,148,0,7,1,70
2023,7,3349844.95 - 9260857.23,0,149,0,7,1,70
2023,8,3349844.95 - 9260857.23,0,150,0,7,1,70
2023,9,3349844.95 - 9260857.23,0,150,0,7,1,70
2023,10,0.00 - 3349844.95,0,148,0,7,1,70
2023,11,0.00 - 3349844.95,0,148,0,7,1,70
2023,12,0.00 - 3349844.95,0,148,0,7,1,70
2022,8,9260857.23 - 18073778.11,0,181,0,152,8,268
2022,9,9260857.23 - 18073778.11,0,180,0,152,8,268
2022,10,9260857.23 - 18073778.11,0,180,0,152,8,268
2022,11,9260857.23 - 18073778.11,0,179,0,152,8,268
2022,12,9260857.23 - 18073778.11,0,179,0,152,8,268
2023,1,9260857.23 - 18073778.11,0,182,0,152,8,268
2023,2,9260857.23 - 18073778.11,0,181,0,152,8,268
2023,3,9260857.23 - 18073778.11,0,182,0,152,8,268
2023,4,9260857.23 - 18073778.11,0,182,0,152,8,268
2023,5,9260857.23 - 18073778.11,0,182,0,152,8,268
2023,6,9260857.23 - 18073778.11,0,183,0,152,8,268
2023,7,9260857.23 - 18073778.11,0,183,0,152,8,268
2023,8,9260857.23 - 18073778.11,0,184,0,152,8,268
2023,9,9260857.23 - 18073778.11,0,184,0,152,8,268
2023,10,9260857.23 - 18073778.11,0,184,0,152,8,268
2023,11,9260857.23 - 18073778.11,0,184,0,152,8,268
2023,12,9260857.23 - 18073778.11,0,185,0,152,8,268
2022,8,0.00 - 3349844.95,0,16,0,13,0,24
2022,9,0.00 - 3349844.95,0,16,0,13,0,24
