ano,mes,energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
2022,10,2122592,6410,119,1364,49,7220,2,134
2022,11,2240303,6416,119,1364,49,7412,2,134
2022,12,2543989,6415,119,1363,49,7514,2,134
2023,1,2668256,6418,119,1362,49,7704,2,134
2023,2,2300262,6426,120,1361,47,8034,2,134
2023,3,2260625,6436,120,1366,43,8320,2,134
2023,4,1954362,6436,120,1366,43,8504,2,134
2023,5,1978834,6436,120,1366,43,8998,2,134
2023,6,1999742,6493,120,1389,47,9508,2,134
2023,7,2158542,6507,120,1393,45,10010,2,134
2023,8,2212983,6529,120,1389,40,10292,2,134
2023,9,2056488,6533,120,1388,39,10468,2,134
2023,10,2169488,6546,120,1388,39,10400,2,134
2023,11,2335718,6545,120,1390,41,11504,2,134
2023,12,2856693,6546,120,1387,39,11450,2,134
2022,8,740474,2383,28,504,10,3964,2,12
2022,9,638716,2381,28,504,9,4070,2,12
2022,10,665245,2383,28,504,8,4180,2,12
2022,11,745679,2384,28,505,8,4350,2,12
2022,12,876150,2386,28,511,8,4476,2,12
2023,1,932648,2382,29,510,7,4480,2,12
2023,2,829199,2386,29,511,7,4548,2,12
2023,3,780488,2387,29,509,7,4452,2,12
2023,4,645413,2387,29,509,7,4226,2,12
2023,5,608916,2387,29,509,7,4190,2,12
2023,6,610107,2392,29,507,7,4532,2,12
2023,7,688662,2391,29,507,7,4706,2,12
2023,8,728100,2395,29,510,9,4088,2,12
2023,9,619544,2393,29,510,6,4566,2,12
2023,10,671351,2401,29,512,5,4840,2,12
2023,11,770536,2401,29,511,5,4676,2,12
2023,12,899577,2397,29,512,5,4372,2,12
2022,8,2638703,7740,129,1326,71,4016,4,22
2022,9,2248875,7740,129,1326,57,4084,4,22
2022,10,2061066,7744,129,1326,50,4864,4,22
2022,11,1910417,7747,129,1324,46,5082,4,22
2022,12,2054185,7749,129,1321,47,5092,4,22
2023,1,2214291,7756,129,1298,45,5558,4,22
2023,2,2039306,7759,129,1300,45,5830,4,22
2023,3,2044365,7762,129,1302,45,6812,4,22
2023,4,1880077,7763,129,1301,45,7072,4,22
2023,5,1992892,7763,129,1301,45,7250,4,22
2023,6,2243147,7781,129,1312,53,7912,4,22
2023,7,2901254,7789,129,1316,50,8188,4,22
2023,8,3134064,7795,129,1311,50,8764,4,22
2023,9,2422283,7798,129,1308,49,9106,4,22
2023,10,2082988,7803,130,1307,44,10778,4,22
2023,11,1929298,7800,130,1301,44,11802,4,22
2023,12,2314716,7804,130,1301,43,12298,4,22
2022,8,1283154,4123,57,745,17,5912,2,12
2022,9,1165972,4125,58,747,17,5908,2,12
2022,10,1202805,4127,58,747,15,6082,2,12
2022,11,1271136,4133,58,747,18,6084,2,12
2022,12,1455234,4130,58,748,18,5768,2,12
2023,1,1615857,4131,58,748,14,6626,2,12
2023,2,1445128,4139,58,749,13,7254,2,12
2023,3,1308489,4138,58,751,13,7064,2,12
2023,4,1083139,4138,58,751,13,7330,2,12
2023,5,1096780,4138,58,751,13,7404,2,12
2023,6,1133690,4146,58,754,8,7262,2,12
2023,7,1256988,4147,59,757,9,7118,2,12
2023,8,1287393,4148,59,759,10,7444,2,12
2023,9,1156242,4150,59,759,9,7690,2,12
2023,10,1214530,4154,59,761,11,7848,2,12
2023,11,1297763,4153,59,761,17,8498,2,12
2023,12,1605712,4156,59,761,17,8642,2,12
2022,8,1155147,5030,130,1034,42,4524,2,26
2022,9,1031110,5031,131,1033,41,4544,2,26
2022,10,1060146,5034,131,1033,42,4956,2,26
2022,11,1125630,5030,131,1036,43,5222,2,26
2022,12,1330653,5027,131,1037,44,5360,2,26
2023,1,1416069,5029,131,1040,42,5584,2,26
2023,2,1251083,5030,131,1039,43,6238,2,26
2023,3,1188109,5023,131,1039,44,7084,2,26
2023,4,1018301,5023,131,1039,44,7280,2,26
2023,5,1003827,5023,131,1039,44,7404,2,26
2023,6,1003128,5034,131,1048,45,7632,2,26
2023,7,1146016,5036,131,1050,45,7874,2,26
2023,8,1208263,5037,132,1049,43,8000,2,26
2023,9,1046657,5041,132,1049,44,8328,2,26
2023,10,1129142,5044,132,1052,42,9370,2,26
2023,11,1244153,5038,132,1052,42,10068,2,26
2023,12,1495010,5034,133,1055,41,10178,2,26
2022,8,2669613,9155,210,1481,110,5922,2,97
2022,9,2353357,9165,210,1481,109,6228,2,97
2022,10,2399155,9169,210,1478,110,7352,2,97
2022,11,2464830,9175,210,1483,111,7746,2,97
2022,12,2757056,9184,210,1486,110,8064,2,97
2023,1,2864353,9191,210,1483,108,8432,2,97
2023,2,2465980,9195,210,1484,108,8610,2,97
2023,3,2505474,9206,210,1482,109,8722,2,97
2023,4,2225617,9206,210,1482,109,8778,2,97
2023,5,2282058,9206,210,1482,109,9226,2,97
2023,6,2323941,9236,210,1499,107,9750,2,97
2023,7,2555841,9266,211,1503,114,10232,2,97
2023,8,2664419,9276,211,1506,106,10180,2,97
2023,9,2396452,9288,211,1507,103,10846,2,97
2023,10,2515589,9289,211,1504,101,11234,2,97
2023,11,2646847,9302,211,1507,101,11636,2,97
2023,12,3084905,9301,211,1516,100,11676,2,97
2022,8,2330463,4421,119,1676,10,5468,2,11
2022,9,1835585,4423,119,1643,12,5290,2,11
2022,10,1688835,4418,119,1602,12,5856,2,11
2022,11,1678851,4420,119,1573,14,6096,2,11
2022,12,1838795,4422,119,1550,13,6112,2,11
2023,1,1964815,4425,119,1544,11,6422,2,11
2023,2,1763673,4428,119,1563,13,6800,2,11
2023,3,1749102,4427,119,1575,11,7430,2,11
2023,4,1721771,4427,119,1575,11,7748,2,11
2023,5,1924857,4427,119,1575,11,7914,2,11
2023,6,2200285,4443,119,1669,13,8636,2,11
2023,7,2800489,4446,119,1672,12,9150,2,11
2023,8,2553041,4456,119,1657,12,9448,2,11
2023,9,1826818,4459,119,1643,10,9460,2,11
2023,10,1634038,4453,119,1632,10,9390,2,11
2023,11,1649432,4450,119,1614,14,9784,2,11
2023,12,2018295,4447,119,1596,16,10344,2,11
2022,8,6846846,24984,336,5012,159,33262,6,63
2022,9,5954165,25004,337,5014,156,32766,6,63
2022,10,6159950,24999,337,5014,189,34712,6,63
2022,11,6857625,25019,338,5025,158,35230,6,63
2022,12,7903964,25008,338,5019,158,35142,4,63
2023,1,8640591,25021,338,5023,158,35746,6,63
2023,2,7515815,25039,338,5032,157,37028,6,63
2023,3,7091246,25057,338,5038,152,37542,6,63
2023,4,5813606,25057,338,5038,152,37844,6,63
2023,5,5675492,25057,338,5038,152,38312,6,63
2023,6,5680543,25117,338,5068,147,40130,6,63
2023,7,6362443,25155,338,5066,153,40586,6,63
2023,8,6690745,25184,339,5079,146,40974,6,63
2023,9,5880995,25180,339,5090,144,41220,6,63
2023,10,6308689,25195,340,5093,179,42536,6,63
2023,11,7127266,25203,340,5100,141,42502,6,63
2023,12,8948703,25192,340,5099,143,43822,6,63
2022,8,2490179,10390,164,1610,42,1760,2,74
2022,9,2338251,10395,164,1611,38,1774,2,74
2022,10,2436934,10396,165,1613,37,1836,2,74
2022,11,2530963,10387,166,1617,37,1796,2,74
2022,12,2728118,10401,166,1619,40,1958,2,74
2023,1,2846955,10402,166,1616,35,2036,2,74
2023,2,2522392,10404,166,1615,34,2130,2,74
2023,3,2577508,10409,166,1617,33,3228,2,74
2023,4,2288019,10409,166,1617,33,3908,2,74
2023,5,2305434,10409,166,1617,33,5132,2,74
2023,6,2284612,10439,168,1624,34,5990,2,74
2023,7,2448991,10454,168,1627,25,6582,2,74
2023,8,2520335,10459,168,1629,23,6646,2,74
2023,9,2328227,10456,168,1632,24,7306,2,74
2023,10,2441508,10450,168,1634,23,7552,2,74
2023,11,2595384,10445,168,1640,24,7758,2,74
2023,12,3059994,10443,168,1641,27,7768,2,74
2022,8,24272391,75131,674,17101,489,129698,28,445
2022,9,23844174,75249,674,17130,493,125706,28,445
2022,10,25200206,75318,675,17134,487,128140,28,445
2022,11,27800308,75376,675,17138,500,126582,30,445
2022,12,31281297,75449,675,17143,511,130806,34,445
2023,1,34963209,75518,675,17157,483,130178,32,445
2023,2,30327605,75548,677,17179,480,132926,36,445
2023,3,28810633,75571,677,17196,478,132340,40,445
2023,4,24047127,75571,677,17196,478,135940,40,445
2023,5,24463415,75571,677,17196,478,136278,38,445
2023,6,24223902,75729,680,17267,483,138208,42,445
2023,7,24553733,75744,682,17273,468,140142,42,445
2023,8,24717084,75798,682,17303,462,137078,40,445
2023,9,24419305,75852,682,17299,455,140900,46,445
2023,10,26698125,75965,682,17312,458,141646,50,445
2023,11,29081086,76020,683,17338,458,144888,46,445
2023,12,34726711,76034,684,17331,469,146490,50,445
2022,8,1977591,7478,100,1582,67,8880,2,123
2022,9,2066690,7487,100,1586,68,8944,2,123
2022,10,2147602,7491,100,1586,68,9272,2,123
2022,11,2281738,7494,100,1582,67,9872,2,123
2022,12,2583580,7503,101,1585,66,11398,2,123
2023,1,2800705,7507,101,1587,72,12090,2,123
2023,2,2441141,7512,101,1588,66,12964,2,123
2023,3,2321148,7517,103,1585,65,13562,2,123
2023,4,1975325,7517,103,1585,65,14076,2,123
2023,5,2013603,7517,103,1585,65,14398,2,123
2023,6,2014835,7545,103,1599,63,14950,2,123
2023,7,2104965,7559,103,1601,60,15172,2,123
2023,8,2113681,7569,103,1605,59,15226,2,123
2023,9,2028771,7574,103,1608,56,15826,2,123
2023,10,2212550,7594,103,1611,55,15786,2,123
2023,11,2417197,7602,103,1609,54,15442,2,123
2023,12,2908005,7606,103,1611,54,15208,4,123
2022,8,715153,1918,36,419,13,1408,2,48
2022,9,657817,1916,36,421,13,1352,2,48
2022,10,664086,1918,36,422,12,1438,2,48
2022,11,701765,1919,36,424,12,1586,2,48
2022,12,778881,1924,36,422,10,1586,2,48
2023,1,842540,1924,36,421,11,1776,2,48
2023,2,751898,1924,36,422,11,1964,2,48
2023,3,728902,1931,36,423,10,2438,2,48
2023,4,631687,1931,36,423,10,2830,2,48
2023,5,639823,1931,36,423,10,3048,2,48
2023,6,656103,1934,36,426,10,3116,2,48
2023,7,719959,1943,36,426,11,3198,2,48
2023,8,724099,1949,36,425,10,3390,2,48
2023,9,647555,1952,36,430,10,3732,2,48
2023,10,685025,1954,36,430,10,4126,2,48
2023,11,744882,1950,36,429,10,4244,2,48
2023,12,910096,1949,36,429,10,4440,2,48
2022,8,3631254,9075,255,2118,35,4578,4,16
2022,9,3109426,9066,256,2117,34,5072,4,16
2022,10,3080166,9067,256,2118,34,5366,4,16
2022,11,3147821,9071,256,2120,34,5574,4,16
2022,12,3499830,9054,256,2112,40,5882,4,16
2023,1,3686721,9061,256,2115,38,6376,4,16
2023,2,3324589,9062,256,2114,38,6730,4,16
2023,3,3277703,9067,256,2115,39,7370,4,16
2023,4,2991279,9067,256,2117,39,7820,4,16
2023,5,3084524,9067,256,2117,39,9002,4,16
2023,6,3337786,9082,256,2117,38,10112,4,16
2023,7,3833483,9084,256,2118,36,10560,4,16
2023,8,3798828,9087,256,2120,34,11416,4,16
2023,9,3178895,9092,256,2122,33,12078,4,16
2023,10,3032965,9094,256,2122,31,13260,4,16
2023,11,3150100,9088,256,2125,35,15252,6,16
2023,12,3905054,9091,256,2131,38,15830,6,16
2022,8,8844267,29002,418,5970,191,47770,2,83
2022,9,7916061,29099,418,5977,184,47402,2,83
2022,10,8424333,29134,418,5982,179,48814,2,83
2022,11,9650522,29170,418,5981,182,48888,2,83
2022,12,11262274,29178,418,5975,178,49232,2,83
2023,1,12160290,29215,418,5979,173,48518,2,83
2023,2,10496183,29217,418,5978,173,50138,2,83
2023,3,9859341,29213,418,5991,176,50178,6,83
2023,4,7993871,29213,418,5991,176,51032,6,83
2023,5,7927523,29213,418,5991,176,51080,6,83
2023,6,8012206,29297,419,6022,182,53460,6,83
2023,7,8903874,29320,419,6034,193,53416,6,83
2023,8,9221795,29379,419,6036,179,53350,6,83
2023,9,8316667,29495,420,6048,176,54358,6,83
2023,10,9269295,29517,420,6049,174,55350,6,83
2023,11,10627140,29520,420,6056,178,55562,6,83
2023,12,12660843,29504,420,6052,174,56576,6,83
2022,8,821310,2594,28,502,18,4950,2,8
2022,9,683801,2594,28,501,13,4918,2,8
2022,10,678088,2596,28,501,13,5074,2,8
2022,11,731499,2598,28,502,14,5012,2,8
2022,12,852201,2598,28,501,14,4976,2,8
2023,1,925083,2599,28,501,14,4976,2,8
2023,2,817140,2599,28,500,14,5294,2,8
2023,3,771242,2593,28,501,12,5500,2,8
2023,4,657035,2593,28,501,12,5248,2,8
2023,5,657139,2593,28,501,12,5464,2,8
2023,6,694328,2598,28,504,10,5462,2,8
2023,7,783657,2603,28,507,10,5144,2,8
2023,8,838043,2605,28,508,15,5304,2,8
2023,9,691305,2603,28,509,10,5132,2,8
2023,10,701977,2604,28,510,10,5544,2,8
2023,11,763223,2605,28,510,10,5604,2,8
2023,12,915752,2603,28,512,10,5576,2,8
2022,8,1052898,2449,19,593,29,2958,2,26
2022,9,844994,2453,19,593,26,2962,2,26
2022,10,783442,2460,19,593,24,3006,2,26
2022,11,822835,2467,19,591,23,3064,2,26
2022,12,967990,2467,19,593,24,3050,2,26
2023,1,1084276,2465,19,593,25,3282,2,26
2023,2,969903,2465,19,595,25,3578,2,26
2023,3,901083,2467,19,598,26,3964,2,26
2023,4,772310,2467,19,598,26,3988,2,26
2023,5,807016,2467,19,598,26,3998,2,26
2023,6,883775,2466,19,603,24,4010,2,26
2023,7,1009541,2467,19,602,24,3886,2,26
2023,8,1028759,2472,19,603,27,3868,2,26
2023,9,827737,2477,19,604,25,4564,2,26
2023,10,802048,2477,19,602,24,4812,2,26
2023,11,860951,2480,19,602,24,4938,2,26
2023,12,1064928,2482,20,602,24,4926,2,26
2022,8,4739517,10508,137,2476,112,14258,2,32
2022,9,3933651,10519,137,2471,111,14222,2,32
2022,10,3631646,10519,137,2477,110,15164,2,32
2022,11,3814852,10518,137,2473,109,15208,2,32
2022,12,4535685,10519,137,2471,112,15126,2,32
2023,1,5135030,10516,137,2468,108,14928,2,32
2023,2,4556936,10529,137,2475,107,15388,2,32
2023,3,4226074,10532,137,2481,109,15562,2,32
2023,4,3708708,10532,137,2481,109,15056,2,32
2023,5,3776197,10532,137,2481,109,15904,2,32
2023,6,4095442,10564,137,2496,107,16396,2,32
2023,7,4891976,10584,137,2499,108,16608,2,32
2023,8,4829496,10584,137,2499,107,16334,2,32
2023,9,4058071,10593,137,2502,197,17432,2,32
2023,10,3921980,10607,138,2507,100,17858,2,32
2023,11,4103155,10600,138,2500,103,17880,2,32
2023,12,5181731,10588,138,2500,100,17514,2,32
2022,8,2774015,10062,98,2165,48,13112,2,1536
2022,9,2581412,10082,98,2167,51,12996,2,1536
2022,10,2696756,10100,98,2169,48,13824,2,1536
2022,11,2963522,10109,99,2174,48,13886,2,1536
2022,12,3423983,10110,99,2177,51,14024,2,1536
2023,1,3769246,10121,99,2179,47,14512,2,1536
2023,2,3371654,10135,99,2187,46,14702,2,1536
2023,3,3126707,10139,99,2189,44,15344,2,1536
2023,4,2542277,10139,99,2189,44,15468,2,1536
2023,5,2607746,10139,99,2189,44,15066,2,1536
2023,6,2687367,10166,99,2192,39,16214,2,1536
2023,7,2842247,10169,99,2197,39,15388,2,1536
2023,8,2910224,10176,99,2197,41,16720,4,1536
2023,9,2692342,10197,99,2204,43,17928,4,1536
2023,10,2849087,10212,99,2218,40,19070,4,1536
2023,11,3108885,10213,99,2227,41,19472,4,1536
2023,12,4022059,10216,99,2234,41,19194,4,1536
2022,8,4802794,14901,105,3251,171,28976,4,1501
2022,9,4656387,14915,105,3253,170,27448,4,1501
2022,10,4930860,14920,105,3261,166,29426,4,1501
2022,11,5242601,14925,105,3270,175,28898,4,1501
2022,12,6008914,14928,105,3266,177,29542,4,1501
2023,1,6373994,14942,105,3280,166,29798,4,1501
2023,2,5543869,14958,105,3283,168,30854,4,1501
2023,3,5503462,14965,106,3277,166,30666,4,1501
2023,4,4746615,14965,106,3277,166,30944,4,1501
2023,5,4756438,14965,106,3277,166,30444,4,1501
2023,6,4634842,15019,106,3296,177,30574,4,1501
2023,7,4820390,15009,106,3303,168,30486,4,1501
2023,8,4818974,15019,106,3306,171,30642,6,1501
2023,9,4688411,15022,106,3305,154,30664,6,1501
2023,10,5070901,15052,106,3305,147,31034,6,1501
2023,11,5456988,15057,106,3312,150,30824,6,1501
2023,12,6425615,15057,106,3314,149,31820,6,1501
2022,8,6955827,20540,204,4584,318,28192,4,378
2022,9,6364302,20554,204,4573,322,28452,4,378
2022,10,6652649,20570,204,4564,313,29264,4,378
2022,11,6962664,20592,204,4562,336,28938,4,378
2022,12,7820888,20614,204,4569,338,29350,6,378
2023,1,8136126,20636,204,4578,320,29342,6,378
2023,2,7082045,20657,204,4585,316,30426,8,378
2023,3,7136148,20670,204,4589,315,31680,8,378
2023,4,6223467,20670,204,4589,315,32850,8,378
2023,5,6269420,20670,204,4589,315,33284,8,378
2023,6,6237163,20796,205,4644,318,36922,10,378
2023,7,6916590,20825,205,4661,330,38678,10,378
2023,8,7156569,20851,205,4658,313,41186,14,378
2023,9,6475929,20850,205,4645,303,41768,14,378
2023,10,6830011,20863,205,4646,303,43426,14,378
2023,11,7395246,20882,207,4647,323,43976,14,378
2023,12,8768092,20892,207,4649,322,45410,14,378
2022,8,3906429,11645,149,2357,132,10684,4,246
2022,9,3892000,11660,149,2345,127,10758,4,246
2022,10,4059297,11667,149,2344,127,11970,4,246
2022,11,4226569,11676,149,2340,132,12968,4,246
2022,12,4780797,11681,149,2344,130,13554,4,246
2023,1,4989092,11689,149,2352,123,14878,4,246
2023,2,4360002,11687,149,2352,120,15984,4,246
2023,3,4316512,11691,149,2353,119,17406,4,246
2023,4,3748489,11691,149,2353,119,18814,4,246
2023,5,3760375,11691,149,2353,119,19300,4,246
2023,6,3718663,11741,149,2384,115,20212,4,246
2023,7,3894972,11752,149,2390,115,22126,4,246
2023,8,3872079,11754,149,2386,111,22000,6,246
2023,9,3698478,11774,149,2373,106,22114,6,246
2023,10,4043153,11773,149,2373,105,23030,8,246
2023,11,4419193,11779,149,2374,109,23942,6,246
2023,12,5252477,11798,149,2374,105,24738,6,246
2022,8,2922362,7160,119,2003,38,14010,0,25
2022,9,2477391,7157,119,2004,41,13582,0,25
2022,10,2468384,7155,119,2002,39,14202,0,25
2022,11,2661222,7167,119,2003,38,13440,0,25
2022,12,3123213,7168,119,2002,36,13444,2,25
2023,1,3465410,7169,119,2002,36,12834,2,25
2023,2,3121556,7163,119,2000,36,14256,2,25
2023,3,2907218,7174,119,2005,33,14240,0,25
2023,4,2453298,7174,119,2005,33,14222,0,25
2023,5,2484088,7174,119,2005,33,14214,2,25
2023,6,2560580,7200,119,2020,31,14266,4,25
2023,7,2851057,7202,119,2024,32,14210,4,25
2023,8,2907395,7207,119,2028,32,14426,10,25
2023,9,2485103,7210,119,2023,35,15014,10,25
2023,10,2622236,7215,119,2022,29,13686,12,25
2023,11,2847160,7206,119,2027,30,14298,14,25
2023,12,3419172,7204,119,2026,30,14978,14,25
2022,8,7367046,23647,343,4415,203,11738,6,221
2022,9,6877499,23666,343,4426,205,11922,6,221
2022,10,7462310,23682,343,4436,204,12522,6,221
2022,11,8038615,23711,343,4444,209,13056,6,221
2022,12,9029085,23737,343,4444,216,14680,6,221
2023,1,9529113,23765,343,4453,212,15918,6,221
2023,2,8187980,23800,343,4456,206,16754,6,221
2023,3,8207395,23836,343,4463,211,17838,6,221
2023,4,6942992,23836,343,4463,211,19132,6,221
2023,5,6880566,23836,343,4463,211,19098,6,221
2023,6,6877734,23901,344,4489,206,21818,6,221
2023,7,7305893,23932,344,4492,209,23138,6,221
2023,8,7320335,23952,344,4496,206,23974,6,221
2023,9,6917600,23962,344,4499,202,25444,6,221
2023,10,7719973,23989,344,4503,202,26370,6,221
2023,11,8493502,23991,344,4504,211,28246,6,221
2023,12,9939391,24012,344,4498,212,28382,6,221
2022,8,16504539,34533,362,10134,219,50230,14,336
2022,9,14675161,34552,362,10143,209,49978,18,336
2022,10,14565284,34581,363,10159,212,52344,16,336
2022,11,14172010,34653,366,10194,224,50912,16,336
2022,12,15453377,34662,366,10208,227,52684,18,336
2023,1,16951629,34697,367,10221,212,53034,18,336
2023,2,15601509,34709,367,10224,209,53844,16,336
2023,3,15134223,34735,367,10245,213,53486,18,336
2023,4,13827362,34735,367,10245,213,54224,16,336
2023,5,14633462,34735,367,10245,213,52960,20,336
2023,6,15619310,34817,370,10313,211,53456,20,336
2023,7,17957231,34883,370,10337,214,52048,16,336
2023,8,18050112,34927,370,10368,210,54168,18,336
2023,9,15638734,34940,372,10377,207,58236,18,336
2023,10,15112735,34960,372,10390,204,58612,22,336
2023,11,14664562,34974,372,10393,213,57356,24,336
2023,12,16869112,34986,372,10390,218,60904,28,336
2022,8,8414032,22139,308,4923,262,13678,2,480
2022,9,8095419,22157,308,4920,236,13320,2,480
2022,10,8822978,22170,308,4917,229,13872,2,480
2022,11,9442947,22189,308,4924,237,14236,2,480
2022,12,10514814,22211,308,4929,233,14724,4,480
2023,1,11294939,22241,308,4933,221,15564,4,480
2023,2,9670919,22247,308,4928,223,17188,4,480
2023,3,9655986,22266,308,4936,221,17992,4,480
2023,4,8146462,22266,308,4936,221,18190,4,480
2023,5,8101574,22266,308,4936,221,18756,4,480
2023,6,7942754,22347,308,4970,219,19258,4,480
2023,7,8348532,22363,308,4971,197,19686,4,480
2023,8,8073821,22390,308,4980,211,20790,6,480
2023,9,7834848,22419,308,4978,188,22446,6,480
2023,10,8818837,22444,308,4982,190,24104,6,480
2023,11,9737989,22466,308,4986,200,24470,4,480
2023,12,11294536,22475,308,4990,195,24986,6,480
2022,8,1874659,4034,48,1108,13,8242,2,12
2022,9,1519007,4039,48,1108,13,7674,2,12
2022,10,1441137,4045,48,1107,15,8348,2,12
2022,11,1417296,4047,48,1111,15,8300,2,12
2022,12,1633002,4048,48,1108,15,8432,2,12
2023,1,1840370,4053,48,1107,15,7672,2,12
2023,2,1678341,4053,48,1106,15,8686,2,12
2023,3,1582357,4051,48,1107,15,8786,2,12
2023,4,1538988,4051,48,1107,15,8390,2,12
2023,5,1558310,4051,48,1107,15,8420,2,12
2023,6,1673627,4061,50,1113,14,8298,2,12
2023,7,1981257,4065,50,1114,15,7928,2,12
2023,8,1992918,4075,50,1116,15,8714,2,12
2023,9,1621814,4074,50,1119,13,8506,2,12
2023,10,1521341,4073,50,1118,14,8282,2,12
2023,11,1520202,4071,50,1113,15,8690,2,12
2023,12,1879422,4074,50,1112,14,8996,2,12
2022,8,1805281,6123,130,1578,20,6378,2,41
2022,9,1643825,6119,130,1577,18,6308,2,41
2022,10,1632536,6124,130,1580,16,6682,2,41
2022,11,1656598,6137,130,1574,16,6692,2,41
2022,12,1842508,6133,130,1575,17,6956,2,41
2023,1,1889707,6132,130,1573,16,6914,2,41
2023,2,1660067,6134,131,1579,16,7414,2,41
2023,3,1680959,6131,132,1580,16,7490,2,41
2023,4,1535637,6131,132,1580,16,7732,2,41
2023,5,1545288,6131,132,1580,16,8138,2,41
2023,6,1542790,6153,132,1584,18,8716,2,41
2023,7,1750216,6156,132,1589,16,9408,2,41
2023,8,1849005,6160,132,1592,18,9290,2,41
2023,9,1651262,6157,132,1594,16,9682,2,41
2023,10,1697445,6161,132,1593,16,10098,2,41
2023,11,1758791,6166,133,1583,16,11140,2,41
2023,12,2026349,6168,133,1584,18,11476,2,41
2022,8,10382241,40541,364,8368,177,34360,2,157
2022,9,9689020,40550,364,8361,169,33974,2,157
2022,10,9988853,40569,364,8344,164,35942,2,157
2022,11,10201582,40587,364,8346,172,37154,2,157
2022,12,11419054,40607,364,8351,186,38522,4,157
2023,1,12054804,40646,364,8333,159,38510,6,157
2023,2,10636701,40668,364,8351,164,41184,6,157
2023,3,10519194,40677,364,8365,167,42520,6,157
2023,4,9193663,40677,364,8365,167,43396,6,157
2023,5,9333237,40677,364,8365,167,43242,6,157
2023,6,9289205,40814,364,8450,173,45210,8,157
2023,7,10079783,40859,364,8465,170,45172,8,157
2023,8,10297298,40881,364,8465,176,45754,8,157
2023,9,9598345,40874,364,8446,158,48218,8,157
2023,10,10021152,40910,364,8450,155,52344,8,157
2023,11,10477531,40928,365,8448,155,56430,8,157
2023,12,12543036,40926,366,8439,172,58152,8,157
2022,8,1093652,4244,111,999,11,4048,2,10
2022,9,1007358,4248,111,998,9,4456,2,10
2022,10,1054802,4247,111,997,8,4744,2,10
2022,11,1135954,4243,111,997,9,4944,2,10
2022,12,1262431,4242,111,996,9,5004,2,10
2023,1,1314990,4238,111,997,8,5276,2,10
2023,2,1163082,4234,111,993,9,5588,2,10
2023,3,1138912,4231,111,993,7,6204,2,10
2023,4,961856,4231,111,993,7,6126,2,10
2023,5,938688,4231,111,993,7,6220,2,10
2023,6,935969,4219,112,994,9,6556,2,10
2023,7,1060850,4223,112,996,7,7006,2,10
2023,8,1116825,4224,112,998,7,6862,2,10
2023,9,997514,4212,112,998,8,7640,2,10
2023,10,1065497,4210,112,1000,6,8232,2,10
2023,11,1179888,4206,112,1002,6,8804,2,10
2023,12,1420598,4204,112,1002,7,8900,2,10
2022,8,997834,4079,95,1034,13,4876,2,30
2022,9,923539,4083,95,1032,12,4934,2,30
2022,10,969158,4083,95,1030,12,5254,2,30
2022,11,1021077,4077,95,1023,12,5634,2,30
2022,12,1148535,4087,95,1020,11,5664,2,30
2023,1,1195463,4092,95,1021,11,6214,2,30
2023,2,1044174,4093,95,1019,12,6656,2,30
2023,3,1026273,4095,95,1019,11,6934,2,30
2023,4,894286,4095,95,1019,11,7082,2,30
2023,5,901119,4095,95,1019,11,6952,2,30
2023,6,899582,4110,95,1024,10,7620,2,30
2023,7,977839,4119,95,1021,9,7772,2,30
2023,8,1028671,4120,95,1019,9,7096,2,30
2023,9,937854,4126,95,1016,9,7894,2,30
2023,10,1009810,4127,95,1016,9,7918,2,30
2023,11,1070320,4132,95,1015,7,8142,2,30
2023,12,1222211,4131,95,1011,7,8174,2,30
2022,8,837063,3253,80,737,23,2540,2,33
2022,9,751710,3255,80,739,22,2548,2,33
2022,10,768650,3251,80,740,22,3074,2,33
2022,11,778380,3252,80,739,20,3190,2,33
2022,12,883366,3254,80,739,21,3452,2,33
2023,1,939214,3254,80,738,19,3406,2,33
2023,2,827373,3260,80,735,19,3530,2,33
2023,3,824431,3256,80,734,20,4240,2,33
2023,4,716507,3256,80,734,20,4766,2,33
2023,5,713557,3256,80,734,20,4706,2,33
2023,6,719382,3259,80,732,21,4858,2,33
2023,7,810961,3258,80,734,21,5570,2,33
2023,8,855747,3265,80,738,20,5130,2,33
2023,9,741629,3265,80,737,19,5214,2,33
2023,10,774305,3263,80,737,19,6068,2,33
2023,11,823221,3264,80,738,18,6162,2,33
2023,12,975405,3262,80,737,19,6486,2,33
2022,8,753174,2013,30,453,14,3900,2,12
2022,9,618041,2019,30,453,14,4088,2,12
2022,10,603959,2020,30,453,13,4166,2,12
2022,11,656553,2025,30,453,13,4182,2,12
2022,12,768306,2025,30,453,14,4248,2,12
2023,1,833765,2025,30,454,12,4320,2,12
2023,2,784296,2022,30,454,12,4368,2,12
2023,3,780605,2021,30,455,12,4386,2,12
2023,4,727225,2021,30,455,12,4376,2,12
2023,5,680256,2021,30,455,12,4346,2,12
2023,6,669308,2026,30,461,14,4426,2,12
2023,7,821078,2030,30,461,17,4458,2,12
2023,8,809353,2031,30,462,16,4484,2,12
2023,9,647351,2035,30,461,14,4482,2,12
2023,10,662707,2035,30,462,14,4396,2,12
