ano,mes,energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao
2023,8,850957,0,61,0
2023,9,691611,0,61,0
2023,10,664828,0,62,0
2023,11,625901,0,62,0
2023,12,643760,0,62,0
2024,1,338871,0,62,0
2022,8,18084,0,12,0
2022,9,14408,0,12,0
2022,10,15183,0,12,0
2022,11,18137,0,11,0
2022,12,14829,0,11,0
2023,1,13056,0,11,0
2023,2,13070,0,11,0
2023,3,13750,0,11,0
2023,4,21245,0,11,0
2023,5,22600,0,11,0
2023,6,21261,0,11,0
2023,7,24753,0,11,0
2023,8,19445,0,11,0
2023,9,16435,0,11,0
2023,10,16778,0,11,0
2023,11,19079,0,11,0
2023,12,15924,0,11,0
2024,1,10240,0,11,0
2022,8,854523,0,35,0
2022,9,825129,0,35,0
2022,10,846836,0,35,0
2022,11,815495,0,35,0
2022,12,833257,0,35,0
2023,1,818301,0,35,0
2023,2,694571,0,36,0
2023,3,714166,0,36,0
2023,4,739249,0,36,0
2023,5,780753,0,36,0
2023,6,808977,0,37,0
2023,7,822112,0,37,0
2023,8,850061,0,38,0
2023,9,847322,0,38,0
2023,10,935476,0,38,0
2023,11,894922,0,38,0
2023,12,892413,0,38,0
2024,1,301373,0,38,0
2022,8,40401382,0,250,8
2022,9,50237966,0,250,0
2022,10,46124512,0,250,0
2022,11,51197763,0,251,0
2022,12,46980266,0,252,0
2023,1,51311340,0,252,0
2023,2,45580631,0,253,0
2023,3,53128383,0,252,0
2023,4,47188950,0,252,0
2023,5,49633924,0,252,0
2023,6,46426421,0,252,0
2023,7,47430388,0,252,0
2023,8,38902557,0,253,0
2023,9,50493157,0,253,0
2023,10,52552792,0,254,0
2023,11,44727805,0,254,0
2023,12,45536283,0,254,0
2024,1,5581350,0,255,0
2022,8,3972386,0,71,0
2022,9,3372101,0,71,0
2022,10,1704286,0,71,0
2022,11,1546816,0,71,0
2022,12,1700199,0,71,0
2023,1,1292003,0,71,0
2023,2,932085,0,71,0
2023,3,1630261,0,71,0
2023,4,2035436,0,71,0
2023,5,3285005,0,71,0
2023,6,3455828,0,71,0
2023,7,3506378,0,71,0
2023,8,4174985,0,71,0
2023,9,3333369,0,71,0
2023,10,2175448,0,71,0
2023,11,1362450,0,71,0
2023,12,1185985,0,71,0
2024,1,232083,0,71,0
2022,8,12178856,0,133,0
2022,9,11195992,0,134,0
2022,10,10115215,0,134,0
2022,11,9080574,0,134,0
2022,12,8797902,0,134,0
2023,1,9107586,0,134,0
2023,2,8502858,0,134,0
2023,3,9102222,0,135,0
2023,4,8624420,0,135,0
2023,5,9226103,0,135,0
2023,6,9333365,0,136,0
2023,7,10856483,0,136,0
2023,8,12361266,0,136,0
2023,9,11108599,0,137,0
2023,10,10219832,0,137,0
2023,11,9453122,0,137,0
2023,12,8786362,0,137,0
2024,1,3781155,0,137,0
2022,8,393434,0,26,0
2022,9,377909,0,26,0
2022,10,374183,0,26,0
2022,11,351657,0,26,0
2022,12,375654,0,26,0
2023,1,413169,0,26,0
2023,2,365654,0,26,0
2023,3,396938,0,25,0
2023,4,345051,0,25,0
2023,5,370115,0,25,0
2023,6,391942,0,26,0
2023,7,374529,0,26,0
2023,8,354951,0,25,0
2023,9,371507,0,25,0
2023,10,387899,0,25,0
2023,11,383122,0,25,0
2023,12,410072,0,25,0
2024,1,146326,0,25,0
2022,8,13911853,0,375,20
2022,9,15756410,0,375,20
2022,10,17797094,0,377,20
2022,11,17030375,0,376,20
2022,12,15793823,0,376,20
2023,1,17688974,0,377,20
2023,2,15258365,0,377,20
2023,3,17001187,0,376,20
2023,4,14782997,0,376,20
2023,5,15167757,0,376,20
2023,6,15468749,0,377,0
2023,7,16059173,0,378,0
2023,8,13256225,0,378,0
2023,9,14676647,0,378,0
2023,10,17897896,0,381,0
2023,11,17789707,0,381,0
2023,12,15902168,0,382,0
2024,1,5880938,0,380,0
2022,8,171228,0,10,0
2022,9,139077,0,10,0
2022,10,136425,0,10,0
2022,11,122134,0,10,0
2022,12,121784,0,10,0
2023,1,128589,0,10,0
2023,2,120616,0,10,0
2023,3,135547,0,10,0
2023,4,140506,0,10,0
2023,5,160200,0,10,0
2023,6,170153,0,10,0
2023,7,189066,0,10,0
2023,8,178301,0,10,0
2023,9,153191,0,10,0
2023,10,141641,0,10,0
2023,11,120165,0,10,0
2023,12,122138,0,10,0
2024,1,76540,0,10,0
2022,8,7993233,0,66,0
2022,9,7438074,0,66,0
2022,10,7241283,0,66,0
2022,11,7067506,0,66,0
2022,12,6450806,0,66,0
2023,1,6764526,0,66,0
2023,2,6284611,0,67,0
2023,3,6419083,0,65,0
2023,4,6045651,0,65,0
2023,5,6334343,0,65,0
2023,6,6933872,0,65,0
2023,7,7149953,0,65,0
2023,8,6599635,0,65,0
2023,9,6892547,0,65,0
2023,10,7335027,0,65,0
2023,11,6925637,0,65,0
2023,12,6384714,0,65,0
2024,1,493652,0,65,0
2022,8,3458758,0,98,0
2022,9,3910120,0,99,0
2022,10,4317816,0,99,0
2022,11,4303212,0,99,0
2022,12,3680323,0,99,0
2023,1,4228975,0,99,0
2023,2,3730842,0,99,0
2023,3,4116101,0,99,0
2023,4,3569314,0,99,0
2023,5,3650113,0,99,0
2023,6,3655777,0,99,0
2023,7,3637432,0,99,0
2023,8,3038855,0,99,0
2023,9,3711713,0,99,0
2023,10,4144315,0,99,0
2023,11,3976897,0,100,0
2023,12,3466424,0,100,0
2024,1,1379337,0,100,0
2022,8,39961829,0,218,0
2022,9,30651707,0,218,0
2022,10,32736433,0,218,0
2022,11,33099119,0,218,0
2022,12,32923169,0,217,0
2023,1,30234952,0,217,0
2023,2,29402116,0,217,0
2023,3,34406368,0,217,0
2023,4,34680160,0,217,0
2023,5,8923139,0,217,0
2023,6,38732345,0,220,0
2023,7,41762818,0,220,0
2023,8,41849213,0,220,0
2023,9,36876287,0,220,0
2023,10,37530373,0,220,0
2023,11,35939907,0,223,0
2023,12,35859585,0,223,0
2024,1,1225658,0,226,0
2022,8,138818,0,15,0
2022,9,136934,0,15,0
2022,10,138049,0,15,0
2022,11,136863,0,15,0
2022,12,143500,0,15,0
2023,1,150363,0,15,0
2023,2,131860,0,15,0
2023,3,134347,0,15,0
2023,4,122842,0,15,0
2023,5,132461,0,15,0
2023,6,140567,0,15,0
2023,7,145956,0,15,0
2023,8,142517,0,15,0
2023,9,128679,0,15,0
2023,10,142095,0,15,0
2023,11,128503,0,15,0
2023,12,122777,0,15,0
2024,1,71182,0,15,0
2022,8,11429914,0,226,0
2022,9,10659885,0,226,0
2022,10,8009664,0,227,0
2022,11,5793995,0,228,0
2022,12,5371553,0,228,0
2023,1,5759677,0,226,0
2023,2,5419903,0,225,0
2023,3,6068122,0,225,0
2023,4,5772525,0,225,0
2023,5,6598687,0,225,0
2023,6,7025099,0,226,0
2023,7,9117053,0,227,0
2023,8,12918286,0,227,0
2023,9,11932203,0,227,0
2023,10,7622503,0,227,0
2023,11,5668959,0,226,0
2023,12,5523967,0,227,0
2024,1,2260571,0,226,0
2022,8,2354920,0,60,0
2022,9,2683863,0,60,0
2022,10,2468334,0,60,0
2022,11,2086711,0,60,0
2022,12,2003419,0,60,0
2023,1,1710345,0,60,0
2023,2,1349148,0,60,0
2023,3,1291760,0,60,0
2023,4,1132057,0,60,0
2023,5,1046524,0,60,0
2023,6,1066640,0,59,0
2023,7,1101363,0,59,0
2023,8,2277941,0,59,0
2023,9,2559627,0,59,0
2023,10,2424928,0,59,0
2023,11,2101086,0,59,0
2023,12,1957206,0,59,0
2024,1,509664,0,59,0
2022,8,626715,0,51,0
2022,9,726631,0,51,0
2022,10,647602,0,51,0
2022,11,592768,0,52,0
2022,12,631820,0,52,0
2023,1,726055,0,52,0
2023,2,638999,0,52,0
2023,3,634351,0,52,0
2023,4,559322,0,52,0
2023,5,629636,0,52,0
2023,6,608508,0,50,0
2023,7,670128,0,50,0
2023,8,705193,0,51,0
2023,9,744809,0,51,0
2023,10,603736,0,50,0
2023,11,550973,0,50,0
2023,12,549899,0,50,0
2024,1,255089,0,50,0
2022,8,504254,0,25,0
2022,9,591503,0,25,0
2022,10,606789,0,25,0
2022,11,536442,0,25,0
2022,12,417271,0,25,0
2023,1,589583,0,25,0
2023,2,572556,0,25,0
2023,3,674220,0,25,0
2023,4,574462,0,25,0
2023,5,654576,0,25,0
2023,6,660288,0,25,0
2023,7,616252,0,26,0
2023,8,490786,0,26,0
2023,9,594439,0,26,0
2023,10,602701,0,26,0
2023,11,574764,0,26,0
2023,12,434521,0,26,0
2024,1,168859,0,26,0
2022,8,26398899,0,377,0
2022,9,26739301,0,375,0
2022,10,27845156,0,375,0
2022,11,27085896,0,375,0
2022,12,24897311,0,377,0
2023,1,28640679,0,377,0
2023,2,25648455,0,379,0
2023,3,27861417,0,379,0
2023,4,24825111,0,379,0
2023,5,27273443,0,379,0
2023,6,27987495,0,378,0
2023,7,29004590,0,379,0
2023,8,25975351,0,379,0
2023,9,27377049,0,380,0
2023,10,29524098,0,381,0
2023,11,28427171,0,381,0
2023,12,25954688,0,381,0
2024,1,10290235,0,380,0
2022,8,3762428,0,88,0
2022,9,3460728,0,88,0
2022,10,3655529,0,89,0
2022,11,4039106,0,89,0
2022,12,4135006,0,89,0
2023,1,4428239,0,89,0
2023,2,3808239,0,89,0
2023,3,3858738,0,89,0
2023,4,3275528,0,89,0
2023,5,3523420,0,89,0
2023,6,3684733,0,89,0
2023,7,3956257,0,90,0
2023,8,3839470,0,91,0
2023,9,3622073,0,91,0
2023,10,3983391,0,91,0
2023,11,4339657,0,91,0
2023,12,4443321,0,91,0
2024,1,1920694,0,91,0
2022,8,293117,0,24,0
2022,9,257649,0,24,0
2022,10,263069,0,24,0
2022,11,267206,0,24,0
2022,12,263374,0,24,0
2023,1,279485,0,24,0
2023,2,248313,0,24,0
2023,3,268615,0,24,0
2023,4,236619,0,24,0
2023,5,241529,0,24,0
2023,6,305117,0,25,0
2023,7,353703,0,25,0
2023,8,356803,0,25,0
2023,9,316436,0,25,0
2023,10,328052,0,25,0
2023,11,314496,0,25,0
2023,12,330933,0,25,0
2024,1,133355,0,25,0
2022,8,1763254,0,42,0
2022,9,2601308,0,42,0
2022,10,2269061,0,42,0
2022,11,1872987,0,42,0
2022,12,1669223,0,42,0
2023,1,1444233,0,42,0
2023,2,1131401,0,42,0
2023,3,1057042,0,42,0
2023,4,857431,0,42,0
2023,5,747736,0,42,0
2023,6,659848,0,42,0
