Ano;Semestre;CodConcelho;Concelho;Pedidos de Ligação à Rede Executados (#)
2021;1;1317;Vila Nova de Gaia;2.0
2021;2;0105;Aveiro;11.0
2021;2;0605;Figueira da Foz;1.0
2021;2;0907;Guarda;1.0
2021;2;0308;Guimarães;2.0
2021;2;0807;Lagos;1.0
2021;2;1009;Leiria;1.0
2021;2;1307;Marco de Canaveses;1.0
2021;2;0608;Mira;1.0
2021;2;1604;Monção;1.0
2021;2;0211;Odemira;1.0
2021;2;1110;Oeiras;12.0
2021;2;1311;Penafiel;2.0
2021;2;0911;Sabugal;1.0
2021;2;1814;Santa Comba Dão;1.0
2021;2;1416;Santarém;1.0
2021;2;1113;Torres Vedras;1.0
2021;2;0712;Vendas Novas;3.0
2021;2;0914;Vila Nova de Foz Côa;1.0
2022;1;1101;Alenquer;1.0
2022;1;1115;Amadora;1.0
2022;1;1601;Arcos de Valdevez;1.0
2022;1;1504;Barreiro;1.0
2022;1;0205;Beja;1.0
2022;1;0402;Bragança;1.0
2022;1;1406;Cartaxo;1.0
2022;1;1407;Chamusca;2.0
2022;1;0108;Estarreja;1.0
2022;1;0808;Loulé;1.0
2022;1;1308;Matosinhos;3.0
2022;1;0406;Miranda do Douro;1.0
2022;1;0408;Mogadouro;1.0
2022;1;0810;Olhão;1.0
2022;1;1310;Paredes;3.0
2022;1;1111;Sintra;7.0
2022;1;0310;Terras do Bouro;1.0
2022;2;0105;Aveiro;1.0
2022;2;1504;Barreiro;7.0
2022;2;0308;Guimarães;24.0
2022;2;0808;Loulé;7.0
2022;2;1107;Loures;1.0
2022;2;1508;Palmela;2.0
2022;2;0614;Penela;2.0
2022;2;1312;Porto;9.0
2022;2;0109;Santa Maria da Feira;1.0
2022;2;1510;Seixal;12.0
2022;2;0116;São João da Madeira;1.0
2022;2;1609;Viana do Castelo;1.0
2023;1;1401;Abrantes;2.0
2023;1;1001;Alcobaça;1.0
2023;1;1504;Barreiro;45.0
2023;1;0303;Braga;1.0
