energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2
-0.0699027462622601,-0.19164062204237672,0.31753353443603843,-0.08973502452429225,-0.3113529714630123
-0.05114377070831448,-0.19164062204237672,0.31753353443603843,-0.08973502452429225,-0.3113529714630123
-0.037016331976171914,-0.19164062204237672,0.31753353443603843,-0.08973502452429225,-0.3113529714630123
-0.0650216954984805,-0.19164062204237672,0.31753353443603843,-0.08973502452429225,-0.3113529714630123
-0.11332504273833945,-0.19164062204237672,0.31753353443603843,-0.08973502452429225,-0.3113529714630123
-0.01917345607937932,-0.19164062204237672,0.30103948351201976,-0.08973502452429225,-0.3113529714630123
-0.08512541028284261,-0.19164062204237672,0.30103948351201976,-0.08973502452429225,-0.3113529714630123
-0.0491519357531316,-0.19164062204237672,0.30103948351201976,-0.08973502452429225,-0.3113529714630123
-0.08669414418721669,-0.19164062204237672,0.30103948351201976,-0.08973502452429225,-0.3113529714630123
-0.06762171630548877,-0.19164062204237672,0.30103948351201976,-0.08973502452429225,-0.3113529714630123
-0.11470883205745527,-0.19164062204237672,0.3092865089740291,-0.08973502452429225,-0.3113529714630123
-0.06885351174255763,-0.19164062204237672,0.3092865089740291,-0.08973502452429225,-0.3113529714630123
-0.10733649780726463,-0.19164062204237672,0.30103948351201976,-0.08973502452429225,-0.3113529714630123
-0.08471093250117208,-0.19164062204237672,0.30103948351201976,-0.08973502452429225,-0.3113529714630123
-0.05540009016078387,-0.19164062204237672,0.2927924580500105,-0.08973502452429225,-0.3113529714630123
-0.04178086344476607,-0.19164062204237672,0.2927924580500105,-0.08973502452429225,-0.3113529714630123
-0.08052962847941775,-0.19164062204237672,0.28454543258800113,-0.08973502452429225,-0.3113529714630123
-0.03638655289756124,-0.19164062204237672,0.2762984071259918,-0.08973502452429225,-0.3113529714630123
-0.33379111702928294,-0.19164062204237672,0.26805138166398246,-0.08973502452429225,-0.3113529714630123
-0.4656584992311604,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4678134752211788,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.46693915986001283,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4661702166412438,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4649188611058857,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4671465389666064,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.46922853265440573,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4690818669711759,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4707155908795433,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4707465084542586,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4709463159099015,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4699960036077121,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4687489947608627,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4697624041543078,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.46818644913837887,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4668389757006747,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.46651332460191625,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4663386858748964,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.4779076076645011,-0.19164062204237672,-0.6556154700810625,-0.08973502452429225,-0.3370515937125086
-0.43934778336422053,-0.19164062204237672,-0.4659338844548479,-0.08973502452429225,-0.35690961999621035
-0.4593268463394131,-0.19164062204237672,-0.4659338844548479,-0.08973502452429225,-0.35690961999621035
-0.46371230450531914,-0.19164062204237672,-0.4659338844548479,-0.08973502452429225,-0.35690961999621035
-0.47099546153320176,-0.19164062204237672,-0.4659338844548479,-0.08973502452429225,-0.35690961999621035
-0.47310647988297866,-0.19164062204237672,-0.4659338844548479,-0.08973502452429225,-0.35690961999621035
-0.4726633279787264,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.4726474835980333,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.46752701442687805,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.4576065392002671,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.45002135742890736,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.4413424927424495,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.43005126826224893,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.4390111954363112,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.4580021579624401,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.46450501429512775,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.4713035856621669,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.4720046644538965,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.4732326039576108,-0.19164062204237672,-0.47418090991685724,-0.08973502452429225,-0.35690961999621035
-0.47878059097596276,-0.19164062204237672,-0.4659338844548479,-0.08973502452429225,-0.35690961999621035
0.10090640796563217,-0.19164062204237672,-0.037088560430362745,-0.08973502452429225,-0.18169174102237157
0.42850706662805904,-0.19164062204237672,-0.037088560430362745,-0.08973502452429225,-0.18169174102237157
0.42818190628445485,-0.19164062204237672,-0.037088560430362745,-0.08973502452429225,-0.18169174102237157
