energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
-0.05178440414519862,0.049354969084764944,0.4060763773982359,0.010941723633357254,-0.22102308560099115,-0.1121015443546774,-0.2997527300991007,-0.3113529714630123
-0.10180534371031705,0.049694976852542774,0.4060763773982359,0.009923158854683242,-0.2307461106497556,-0.10339703562346898,-0.2997527300991007,-0.3113529714630123
-0.0923364892333474,0.050034984620320605,0.4060763773982359,0.008613575567816655,-0.2307461106497556,-0.09192094202262206,-0.2997527300991007,-0.3113529714630123
-0.05713077686184215,0.050408993164876216,0.4060763773982359,0.00948663109239438,-0.23560762317413783,-0.07433870050585283,-0.2997527300991007,-0.3113529714630123
0.02225327298524154,0.05061299782554292,0.41122637512329946,0.01006866810877953,-0.22588459812537337,-0.06390195123112034,-0.2997527300991007,-0.3113529714630123
0.07238449517745876,0.0506469986023207,0.41122637512329946,0.009632140346490667,-0.22588459812537337,-0.015225991958094183,-0.2997527300991007,-0.3113529714630123
-0.0008289912340628709,0.05030699083454287,0.41122637512329946,0.009777649600586955,-0.0751777098695243,-0.008080499716057425,-0.2997527300991007,-0.3113529714630123
-0.03734901103444922,0.050034984620320605,0.41122637512329946,0.010650705125164679,-0.25991518579604894,0.012446550724702719,-0.2997527300991007,-0.3113529714630123
-0.11398711685467869,0.050034984620320605,0.41122637512329946,0.010650705125164679,-0.25991518579604894,0.026910759263128643,-0.2997527300991007,-0.3113529714630123
-0.10826201373042334,0.050034984620320605,0.41122637512329946,0.010650705125164679,-0.25991518579604894,0.022017179727673166,-0.2997527300991007,-0.3113529714630123
-0.0955637205681486,0.05170102268243197,0.41637637284836304,0.015015982748053306,-0.2501921607472845,0.04973302842405817,-0.22099789099442624,-0.3113529714630123
-0.0529383390701616,0.05221103433409872,0.41637637284836304,0.014288436477571867,-0.26963821084481343,0.04302059631790243,-0.22099789099442624,-0.3113529714630123
-0.04475322870740365,0.05221103433409872,0.42152637057342657,0.013851908715283004,-0.27449972336919565,0.048910214165884244,-0.22099789099442624,-0.3113529714630123
-0.09678591356253993,0.05221103433409872,0.42152637057342657,0.01472496423986073,-0.2842227484179601,0.050642454709408306,-0.22099789099442624,-0.3113529714630123
-0.07373480694457907,0.05316305608387665,0.42152637057342657,0.015743529018534742,-0.28908426094234235,0.07671267488944544,-0.22099789099442624,-0.3113529714630123
-0.027320253612355183,0.05350306385165448,0.42152637057342657,0.01530700125624588,-0.28908426094234235,0.09386185627033367,-0.22099789099442624,-0.3113529714630123
0.10192996657028486,0.05340106152132113,0.42152637057342657,0.016180056780823605,-0.29394577346672457,0.12014860651831133,-0.22099789099442624,-0.3113529714630123
0.0848860794505973,0.05316305608387665,0.42152637057342657,0.015598019764438455,-0.29394577346672457,0.1466951928478176,-0.14224305188975178,-0.3113529714630123
