energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
6866211.91 - 12252934.51,9317038.68 - 18336169.09,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,9317038.68 - 18336169.09,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,9317038.68 - 18336169.09,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,9317038.68 - 18336169.09,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,9317038.68 - 18336169.09,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,9317038.68 - 18336169.09,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
2983911.75 - 6866211.91,3353532.66 - 9317038.68,8752.42 - 14844.51,0.00 - 0.54,190.41 - 238.40,3135.72 - 5235.35,143.91 - 194.04,83.89 - 148.16,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
