energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
18464831.15 - 25417395.44,28225548.10 - 37597633.55,40878.28 - 47539.03,0.00 - 0.54,466.10 - 517.50,7947.00 - 11173.19,143.91 - 194.04,408.61 - 485.13,0.00 - 27.46,66111.12 - 91019.96,12.51 - 28.31
6866211.91 - 12252934.51,3353532.66 - 9317038.68,40878.28 - 47539.03,0.00 - 0.54,466.10 - 517.50,7947.00 - 11173.19,143.91 - 194.04,408.61 - 485.13,0.00 - 27.46,66111.12 - 91019.96,28.31 - 47.28
139066.00 - 2983911.75,3353532.66 - 9317038.68,1042.00 - 3196.96,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,1042.00 - 3196.96,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,1042.00 - 3196.96,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,1042.00 - 3196.96,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,1042.00 - 3196.96,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,1042.00 - 3196.96,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,1042.00 - 3196.96,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,1042.00 - 3196.96,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
